object:candle.n.01,location:jar.n.01	1	-on-_on-on-,0.018867924528301886 -#- -on-_on-in-_on-on-,0.025974025974025976 -#- -on-_in-on-_on-on-,0.022222222222222223 -#- -used_for-_used_for-in-_on-on-,0.043478260869565216 -#- -on-_on-on-_in-in-,0.02702702702702703 -#- -on-_on-in-_in-in-,0.03571428571428571 -#- -used_for-_used_for-in-_in-in-,0.030303030303030304 -#- -on-_in-in-_in-in-,0.023529411764705882 -#- -on-_on-on-_on-on-_on-on-,0.024096385542168676 -#- -on-_in-in-_on-in-,0.05714285714285714 -#- -on-_on-on-_on-used_for-_used_for-on-,0.013333333333333334 -#- -on-_on-on-_on-made_of-_made_of-on-,0.046511627906976744 -#- -on-_in-in-_in-in-_on-on-,0.05970149253731343 -#- -on-_on-on-_on-in-_on-on-,0.041666666666666664 -#- -used_for-_used_for-on-_in-in-,0.023809523809523808 -#- -on-_on-on-_on-on-_in-on-,0.03076923076923077 -#- -used_for-_used_for-in-_on-in-_on-on-,0.06896551724137931 -#- -used_for-_used_for-on-_in-on-_on-on-,0.017857142857142856
object:candle.n.01,location:basket.n.01	-1	-on-_on-on-,0.02830188679245283 -#- -on-_in-on-,0.02702702702702703 -#- -used_for-_used_for-on-,0.02247191011235955 -#- -on-_on-in-,0.04081632653061224 -#- -on-,0.2556390977443609 -#- -on-_in-in-,0.09482758620689655 -#- -on-_on-in-_in-on-,0.024390243902439025 -#- -on-_on-in-_on-on-,0.012987012987012988 -#- -on-_in-in-_on-on-,0.024390243902439025 -#- -on-_on-made_of-_made_of-on-,0.02631578947368421 -#- -used_for-_used_for-in-_on-on-,0.043478260869565216 -#- -used_for-_used_for-on-_on-on-,0.03409090909090909 -#- -on-_on-used_for-_used_for-on-,0.0379746835443038 -#- -on-_on-on-_in-in-,0.08108108108108109 -#- -on-_on-on-_on-in-,0.06896551724137931 -#- -used_for-_used_for-on-_in-on-,0.0125 -#- -on-_in-used_for-_used_for-on-,0.03571428571428571 -#- -on-_on-in-_in-in-,0.05952380952380952 -#- -on-_on-used_for-_used_for-in-,0.0379746835443038 -#- -used_for-_used_for-in-_in-in-,0.10606060606060606 -#- -on-_on-in-_on-in-,0.125 -#- -on-_in-on-_on-in-,0.010869565217391304 -#- -on-_in-in-_in-in-,0.09411764705882353 -#- -on-_on-made_of-_made_of-in-,0.1111111111111111 -#- -used_for-_used_for-used_for-_used_for-in-,0.02666666666666667 -#- -on-_in-in-_on-in-,0.014285714285714285 -#- -on-_on-in-_on-on-_on-on-,0.046875 -#- -used_for-_used_for-on-_on-in-,0.024390243902439025 -#- -on-_in-in-_in-in-_in-on-,0.039473684210526314 -#- -on-_on-on-_on-in-_in-on-,0.012048192771084338 -#- -on-_on-on-_on-used_for-_used_for-on-,0.013333333333333334 -#- -on-_on-used_for-_used_for-in-_on-on-,0.027777777777777776 -#- -used_for-_used_for-made_of-_made_of-in-,0.08333333333333333 -#- -on-_in-in-_in-in-_on-on-,0.029850746268656716 -#- -on-_in-in-_in-on-_on-on-,0.02666666666666667 -#- -on-_in-in-_on-on-_on-on-,0.05128205128205128 -#- -on-_on-on-_on-in-_on-on-,0.05555555555555555 -#- -used_for-_used_for-in-_on-in-,0.037037037037037035 -#- -used_for-_used_for-on-_in-in-,0.05952380952380952 -#- -used_for-_used_for-on-_on-in-_in-on-,0.03076923076923077 -#- -used_for-_used_for-in-_on-in-_in-on-,0.023255813953488372 -#- -on-_in-used_for-_used_for-in-_on-on-,0.03508771929824561 -#- -on-_in-made_of-_made_of-on-_on-on-,0.16326530612244897
object:sink.n.01,location:bowl.n.01	-1	-on-_on-on-,0.020134228187919462 -#- -used_for-_used_for-on-,0.04 -#- -on-_on-in-,0.022058823529411766 -#- -on-_in-in-,0.014084507042253521 -#- -used_for-_used_for-in-,0.007936507936507936 -#- -on-_on-on-_in-on-,0.05970149253731343 -#- -on-_in-on-_on-on-,0.039473684210526314 -#- -made_of-_made_of-on-_on-on-,0.02040816326530612 -#- -used_for-_used_for-in-_in-on-,0.011904761904761904 -#- -made_of-_made_of-on-_in-on-,0.02666666666666667 -#- -used_for-_used_for-on-_on-on-,0.03571428571428571 -#- -made_of-_made_of-in-_in-on-,0.03571428571428571 -#- -made_of-_made_of-in-,0.038461538461538464 -#- -made_of-_made_of-in-_on-on-,0.020202020202020204 -#- -on-_on-on-_in-in-,0.015384615384615385 -#- -used_for-_used_for-on-_in-on-,0.02857142857142857 -#- -on-_in-used_for-_used_for-on-,0.014492753623188406 -#- -used_for-_used_for-used_for-_used_for-on-,0.011111111111111112 -#- -on-_on-in-_in-in-,0.0625 -#- -used_for-_used_for-in-_in-in-,0.03571428571428571 -#- -on-_in-on-_on-in-,0.014492753623188406 -#- -used_for-_used_for-made_of-_made_of-on-,0.012987012987012988 -#- -made_of-_made_of-used_for-_used_for-on-,0.011494252873563218 -#- -used_for-_used_for-used_for-_used_for-in-,0.012195121951219513 -#- -on-_in-in-_on-in-,0.014705882352941176 -#- -made_of-_made_of-in-_in-in-,0.056818181818181816 -#- -used_for-_used_for-on-_on-in-,0.022727272727272728 -#- -made_of-_made_of-on-_in-in-,0.039473684210526314 -#- -on-_in-on-_on-on-_on-on-,0.08247422680412371 -#- -on-_in-in-_in-in-_in-on-,0.02127659574468085 -#- -on-_on-on-_on-in-_in-on-,0.04 -#- -made_of-_made_of-in-_in-on-_on-on-,0.0759493670886076 -#- -used_for-_used_for-in-_in-on-_on-on-,0.023809523809523808 -#- -made_of-_made_of-on-_on-on-_on-on-,0.06666666666666667 -#- -on-_in-in-_in-on-_on-on-,0.041666666666666664 -#- -on-_in-in-_on-on-_on-on-,0.08536585365853659 -#- -on-_on-on-_on-in-_on-on-,0.03409090909090909 -#- -used_for-_used_for-in-_on-in-,0.06153846153846154 -#- -used_for-_used_for-on-_in-in-,0.025974025974025976 -#- -on-_on-on-_on-on-_in-on-,0.05970149253731343 -#- -used_for-_used_for-on-_on-in-_in-on-,0.025 -#- -used_for-_used_for-in-_on-in-_in-on-,0.039473684210526314 -#- -made_of-_made_of-on-_in-in-_in-on-,0.0625 -#- -on-_in-in-_in-on-_in-on-,0.029850746268656716 -#- -on-_in-used_for-_used_for-in-_on-on-,0.014492753623188406 -#- -on-_in-made_of-_made_of-on-_on-on-,0.02666666666666667 -#- -made_of-_made_of-on-_on-in-,0.075 -#- -used_for-_used_for-in-_on-in-_on-on-,0.015151515151515152 -#- -made_of-_made_of-in-_on-in-,0.012658227848101266
object:candle.n.01,location:bowl.n.01	1	-on-_on-on-,0.02830188679245283 -#- -on-_in-on-,0.02702702702702703 -#- -used_for-_used_for-on-,0.011235955056179775 -#- -on-_on-in-,0.05102040816326531 -#- -on-,0.17293233082706766 -#- -used_for-_used_for-in-,0.030303030303030304 -#- -on-_on-in-_on-on-,0.06493506493506493 -#- -on-_in-on-_on-on-,0.03333333333333333 -#- -on-_on-made_of-_made_of-on-,0.05263157894736842 -#- -used_for-_used_for-in-_on-on-,0.014492753623188406 -#- -used_for-_used_for-on-_on-on-,0.03409090909090909 -#- -on-_on-used_for-_used_for-on-,0.012658227848101266 -#- -on-_on-on-_in-in-,0.013513513513513514 -#- -on-_on-on-_on-in-,0.13793103448275862 -#- -used_for-_used_for-on-_in-on-,0.0125 -#- -used_for-_used_for-used_for-_used_for-on-,0.05063291139240506 -#- -on-_on-in-_in-in-,0.09523809523809523 -#- -on-_on-used_for-_used_for-in-,0.02531645569620253 -#- -used_for-_used_for-in-_in-in-,0.030303030303030304 -#- -on-_in-on-_on-in-,0.05434782608695652 -#- -used_for-_used_for-made_of-_made_of-on-,0.012195121951219513 -#- -on-_in-in-_in-in-,0.023529411764705882 -#- -on-_in-made_of-_made_of-on-,0.02531645569620253 -#- -on-_on-on-_on-on-_on-on-,0.024096385542168676 -#- -used_for-_used_for-on-_on-in-,0.04878048780487805 -#- -on-_in-on-_on-on-_on-on-,0.02702702702702703 -#- -on-_in-in-_in-in-_in-on-,0.013157894736842105 -#- -on-_on-on-_in-on-_on-on-,0.038461538461538464 -#- -on-_on-on-_on-made_of-_made_of-on-,0.06976744186046512 -#- -on-_on-used_for-_used_for-in-_on-on-,0.05555555555555555 -#- -used_for-_used_for-made_of-_made_of-in-,0.05952380952380952 -#- -on-_in-in-_in-in-_on-on-,0.029850746268656716 -#- -on-_in-in-_in-on-_on-on-,0.013333333333333334 -#- -on-_in-in-_on-on-_on-on-,0.02564102564102564 -#- -on-_on-in-_in-on-_on-on-,0.02564102564102564 -#- -on-_on-on-_on-in-_on-on-,0.027777777777777776 -#- -used_for-_used_for-in-_on-in-,0.037037037037037035 -#- -used_for-_used_for-on-_in-in-,0.03571428571428571 -#- -used_for-_used_for-on-_on-in-_in-on-,0.03076923076923077 -#- -used_for-_used_for-on-_in-on-_on-on-,0.07142857142857142
object:candle.n.01,location:box.n.01	1	-on-_in-on-,0.009009009009009009 -#- -on-_on-in-,0.05102040816326531 -#- -on-_in-in-,0.06896551724137931 -#- -on-_on-on-_on-on-,0.09782608695652174 -#- -on-_on-in-_on-on-,0.03896103896103896 -#- -on-_on-on-_in-on-,0.011904761904761904 -#- -on-_in-on-_on-on-,0.011111111111111112 -#- -on-_in-in-_in-on-,0.033707865168539325 -#- -used_for-_used_for-in-_in-on-,0.016666666666666666 -#- -on-_in-in-_on-on-,0.012195121951219513 -#- -used_for-_used_for-in-_on-on-,0.028985507246376812 -#- -on-_on-used_for-_used_for-on-,0.012658227848101266 -#- -on-_on-on-_in-in-,0.04054054054054054 -#- -on-_on-on-_on-in-,0.05747126436781609 -#- -on-_in-used_for-_used_for-on-,0.023809523809523808 -#- -used_for-_used_for-used_for-_used_for-on-,0.012658227848101266 -#- -on-_on-in-_in-in-,0.07142857142857142 -#- -on-_on-used_for-_used_for-in-,0.08860759493670886 -#- -used_for-_used_for-in-_in-in-,0.030303030303030304 -#- -on-_on-in-_on-in-,0.09375 -#- -on-_in-on-_on-in-,0.05434782608695652 -#- -on-_in-on-_in-on-,0.012195121951219513 -#- -used_for-_used_for-made_of-_made_of-on-,0.024390243902439025 -#- -on-_in-in-_in-in-,0.058823529411764705 -#- -on-_in-made_of-_made_of-on-,0.05063291139240506 -#- -on-_on-made_of-_made_of-in-,0.16666666666666666 -#- -on-_on-on-_on-on-_on-on-,0.012048192771084338 -#- -on-_in-in-_on-in-,0.07142857142857142 -#- -on-_on-in-_on-on-_on-on-,0.046875 -#- -used_for-_used_for-on-_on-in-,0.10975609756097561 -#- -on-_in-on-_on-on-_on-on-,0.05405405405405406 -#- -on-_on-on-_on-in-_in-on-,0.04819277108433735 -#- -on-_on-on-_on-used_for-_used_for-on-,0.02666666666666667 -#- -on-_on-on-_on-made_of-_made_of-on-,0.046511627906976744 -#- -used_for-_used_for-made_of-_made_of-in-,0.07142857142857142 -#- -used_for-_used_for-in-_on-on-_on-on-,0.03508771929824561 -#- -on-_in-in-_in-in-_on-on-,0.04477611940298507 -#- -used_for-_used_for-in-_in-on-_on-on-,0.03508771929824561 -#- -on-_in-in-_on-on-_on-on-,0.02564102564102564 -#- -on-_on-in-_in-on-_on-on-,0.01282051282051282 -#- -used_for-_used_for-in-_on-in-,0.1111111111111111 -#- -used_for-_used_for-on-_in-in-,0.05952380952380952 -#- -on-_on-on-_on-on-_in-on-,0.03076923076923077 -#- -on-_in-in-_in-on-_in-on-,0.038461538461538464 -#- -on-_in-made_of-_made_of-on-_on-on-,0.02040816326530612 -#- -used_for-_used_for-in-_on-in-_on-on-,0.034482758620689655 -#- -used_for-_used_for-on-_in-on-_on-on-,0.03571428571428571
object:candle.n.01,location:cabinet.n.01	1	-on-_on-on-,0.04716981132075472 -#- -on-_in-on-,0.036036036036036036 -#- -used_for-_used_for-on-,0.07865168539325842 -#- -on-_on-in-,0.15306122448979592 -#- -on-,0.06766917293233082 -#- -on-_in-in-,0.1724137931034483 -#- -on-_on-on-_on-on-,0.06521739130434782 -#- -used_for-_used_for-in-,0.5303030303030303 -#- -on-_on-in-_in-on-,0.08536585365853659 -#- -on-_on-in-_on-on-,0.03896103896103896 -#- -on-_on-on-_in-on-,0.11904761904761904 -#- -on-_in-on-_on-on-,0.05555555555555555 -#- -on-_in-in-_in-on-,0.07865168539325842 -#- -used_for-_used_for-in-_in-on-,0.03333333333333333 -#- -on-_in-in-_on-on-,0.15853658536585366 -#- -on-_on-made_of-_made_of-on-,0.06578947368421052 -#- -used_for-_used_for-in-_on-on-,0.028985507246376812 -#- -used_for-_used_for-on-_on-on-,0.09090909090909091 -#- -on-_on-used_for-_used_for-on-,0.0759493670886076 -#- -on-_on-on-_in-in-,0.17567567567567569 -#- -on-_on-on-_on-in-,0.19540229885057472 -#- -used_for-_used_for-on-_in-on-,0.1375 -#- -on-_in-used_for-_used_for-on-,0.08333333333333333 -#- -used_for-_used_for-used_for-_used_for-on-,0.0379746835443038 -#- -on-_on-in-_in-in-,0.14285714285714285 -#- -on-_on-used_for-_used_for-in-,0.2911392405063291 -#- -used_for-_used_for-in-_in-in-,0.13636363636363635 -#- -on-_on-in-_on-in-,0.21875 -#- -on-_in-on-_on-in-,0.15217391304347827 -#- -on-_in-on-_in-on-,0.04878048780487805 -#- -used_for-_used_for-made_of-_made_of-on-,0.17073170731707318 -#- -on-_in-in-_in-in-,0.09411764705882353 -#- -on-_in-made_of-_made_of-on-,0.02531645569620253 -#- -on-_on-made_of-_made_of-in-,0.2916666666666667 -#- -used_for-_used_for-used_for-_used_for-in-,0.5466666666666666 -#- -on-_on-on-_on-on-_on-on-,0.07228915662650602 -#- -on-_in-in-_on-in-,0.1 -#- -on-_on-in-_on-on-_on-on-,0.125 -#- -used_for-_used_for-on-_on-in-,0.15853658536585366 -#- -on-_in-on-_on-on-_on-on-,0.04054054054054054 -#- -on-_in-in-_in-in-_in-on-,0.06578947368421052 -#- -on-_on-on-_in-on-_on-on-,0.09615384615384616 -#- -on-_on-on-_on-in-_in-on-,0.03614457831325301 -#- -on-_on-on-_on-used_for-_used_for-on-,0.05333333333333334 -#- -on-_on-on-_on-made_of-_made_of-on-,0.13953488372093023 -#- -on-_on-used_for-_used_for-in-_on-on-,0.08333333333333333 -#- -used_for-_used_for-made_of-_made_of-in-,0.34523809523809523 -#- -on-_in-in-_in-in-_on-on-,0.07462686567164178 -#- -used_for-_used_for-in-_in-on-_on-on-,0.05263157894736842 -#- -on-_in-in-_in-on-_on-on-,0.04 -#- -on-_in-in-_on-on-_on-on-,0.0641025641025641 -#- -on-_on-in-_in-on-_on-on-,0.0641025641025641 -#- -on-_on-on-_on-in-_on-on-,0.06944444444444445 -#- -used_for-_used_for-in-_on-in-,0.1111111111111111 -#- -used_for-_used_for-on-_in-in-,0.15476190476190477 -#- -on-_on-on-_on-on-_in-on-,0.07692307692307693 -#- -used_for-_used_for-on-_on-in-_in-on-,0.046153846153846156 -#- -used_for-_used_for-in-_on-in-_in-on-,0.16279069767441862 -#- -on-_in-used_for-_used_for-in-_on-on-,0.03508771929824561 -#- -on-_in-made_of-_made_of-on-_on-on-,0.02040816326530612 -#- -used_for-_used_for-on-_in-on-_on-on-,0.05357142857142857
object:teapot.n.01,location:plate.n.04	-1	-on-_on-on-,0.08029197080291971 -#- -on-_in-on-,0.040983606557377046 -#- -used_for-_used_for-on-,0.03076923076923077 -#- -on-,0.08620689655172414 -#- -made_of-_made_of-on-,0.02459016393442623 -#- -on-_on-on-_on-on-,0.09523809523809523 -#- -on-_on-in-_in-on-,0.039473684210526314 -#- -on-_on-in-_on-on-,0.0136986301369863 -#- -on-_in-on-_on-on-,0.027777777777777776 -#- -on-_in-in-_in-on-,0.029850746268656716 -#- -made_of-_made_of-on-_on-on-,0.039603960396039604 -#- -used_for-_used_for-in-_in-on-,0.03571428571428571 -#- -made_of-_made_of-on-_in-on-,0.02127659574468085 -#- -on-_in-in-_on-on-,0.043478260869565216 -#- -on-_on-made_of-_made_of-on-,0.013333333333333334 -#- -used_for-_used_for-in-_on-on-,0.014925373134328358 -#- -used_for-_used_for-on-_on-on-,0.03896103896103896 -#- -made_of-_made_of-in-_in-on-,0.022727272727272728 -#- -on-_on-used_for-_used_for-on-,0.0410958904109589 -#- -made_of-_made_of-in-_on-on-,0.05 -#- -used_for-_used_for-on-_in-on-,0.0641025641025641 -#- -on-_in-used_for-_used_for-on-,0.013888888888888888 -#- -used_for-_used_for-used_for-_used_for-on-,0.023529411764705882 -#- -made_of-_made_of-made_of-_made_of-on-,0.047619047619047616 -#- -on-_in-on-_in-on-,0.019230769230769232 -#- -used_for-_used_for-made_of-_made_of-on-,0.04819277108433735 -#- -made_of-_made_of-used_for-_used_for-on-,0.10843373493975904 -#- -on-_in-made_of-_made_of-on-,0.03389830508474576 -#- -on-_on-on-_on-on-_on-on-,0.07446808510638298 -#- -on-_on-in-_on-on-_on-on-,0.03389830508474576 -#- -on-_in-on-_on-on-_on-on-,0.12345679012345678 -#- -on-_in-in-_in-in-_in-on-,0.09210526315789473 -#- -on-_on-on-_in-on-_on-on-,0.013888888888888888 -#- -on-_on-on-_on-used_for-_used_for-on-,0.043478260869565216 -#- -made_of-_made_of-on-_in-on-_on-on-,0.06153846153846154 -#- -on-_on-used_for-_used_for-in-_on-on-,0.027777777777777776 -#- -made_of-_made_of-in-_in-on-_on-on-,0.025974025974025976 -#- -used_for-_used_for-in-_on-on-_on-on-,0.08064516129032258 -#- -on-_in-in-_in-in-_on-on-,0.058823529411764705 -#- -used_for-_used_for-in-_in-on-_on-on-,0.03896103896103896 -#- -made_of-_made_of-on-_on-on-_on-on-,0.02247191011235955 -#- -on-_in-in-_on-on-_on-on-,0.015625 -#- -on-_on-in-_in-on-_on-on-,0.04225352112676056 -#- -on-_on-on-_on-in-_on-on-,0.05333333333333334 -#- -on-_on-on-_on-on-_in-on-,0.06 -#- -made_of-_made_of-in-_in-in-_on-on-,0.013888888888888888 -#- -made_of-_made_of-on-_in-used_for-_used_for-on-,0.016666666666666666 -#- -used_for-_used_for-in-_on-in-_in-on-,0.05970149253731343 -#- -made_of-_made_of-on-_in-in-_in-on-,0.039473684210526314 -#- -made_of-_made_of-on-_on-in-_on-on-,0.034482758620689655 -#- -on-_in-in-_in-on-_in-on-,0.08 -#- -on-_in-made_of-_made_of-on-_on-on-,0.12962962962962962 -#- -used_for-_used_for-on-_in-on-_on-on-,0.015151515151515152
object:switch.n.01,location:cutting_board.n.01	-1	-on-_on-on-,0.04838709677419355 -#- -on-_in-on-,0.016260162601626018 -#- -made_of-_made_of-on-,0.024 -#- -on-_on-on-_on-on-,0.010309278350515464 -#- -on-_on-in-_in-on-,0.09333333333333334 -#- -on-_on-in-_on-on-,0.1038961038961039 -#- -on-_on-on-_in-on-,0.047619047619047616 -#- -on-_in-on-_on-on-,0.03296703296703297 -#- -on-_in-in-_in-on-,0.02197802197802198 -#- -made_of-_made_of-on-_on-on-,0.008849557522123894 -#- -made_of-_made_of-on-_in-on-,0.031578947368421054 -#- -on-_in-in-_on-on-,0.08641975308641975 -#- -on-_on-made_of-_made_of-on-,0.05952380952380952 -#- -made_of-_made_of-in-_in-on-,0.045454545454545456 -#- -on-_on-used_for-_used_for-on-,0.10526315789473684 -#- -made_of-_made_of-in-_on-on-,0.04878048780487805 -#- -on-_in-used_for-_used_for-on-,0.012195121951219513 -#- -made_of-_made_of-made_of-_made_of-on-,0.00980392156862745 -#- -on-_in-on-_in-on-,0.013513513513513514 -#- -made_of-_made_of-used_for-_used_for-on-,0.02531645569620253 -#- -on-_on-on-_on-on-_on-on-,0.058823529411764705 -#- -on-_in-in-_in-in-_in-on-,0.10227272727272728 -#- -on-_on-on-_in-on-_on-on-,0.014285714285714285 -#- -on-_on-on-_on-in-_in-on-,0.043478260869565216 -#- -on-_on-on-_on-used_for-_used_for-on-,0.038461538461538464 -#- -made_of-_made_of-on-_in-on-_on-on-,0.03278688524590164 -#- -made_of-_made_of-in-_in-on-_on-on-,0.0625 -#- -made_of-_made_of-on-_on-on-_on-on-,0.013157894736842105 -#- -on-_in-in-_in-on-_on-on-,0.04938271604938271 -#- -on-_on-in-_in-on-_on-on-,0.024390243902439025 -#- -on-_on-on-_on-in-_on-on-,0.014925373134328358 -#- -on-_on-on-_on-on-_in-on-,0.029850746268656716 -#- -made_of-_made_of-in-_in-in-_on-on-,0.11290322580645161 -#- -made_of-_made_of-on-_in-used_for-_used_for-on-,0.05357142857142857 -#- -made_of-_made_of-on-_in-in-_in-on-,0.04477611940298507 -#- -made_of-_made_of-on-_on-in-_on-on-,0.031746031746031744 -#- -on-_in-in-_in-on-_in-on-,0.044444444444444446 -#- -made_of-_made_of-in-_in-made_of-_made_of-on-,0.08196721311475409 -#- -on-_in-used_for-_used_for-in-_on-on-,0.04918032786885246
object:teapot.n.01,location:dish.n.01	-1	-on-_on-on-,0.0948905109489051 -#- -on-_in-on-,0.06557377049180328 -#- -used_for-_used_for-on-,0.015384615384615385 -#- -on-,0.1413793103448276 -#- -on-_on-on-_on-on-,0.03571428571428571 -#- -on-_on-in-_in-on-,0.02631578947368421 -#- -on-_on-on-_in-on-,0.07352941176470588 -#- -on-_in-on-_on-on-,0.08333333333333333 -#- -on-_in-in-_in-on-,0.04477611940298507 -#- -made_of-_made_of-on-_on-on-,0.039603960396039604 -#- -used_for-_used_for-in-_in-on-,0.05952380952380952 -#- -made_of-_made_of-on-_in-on-,0.05319148936170213 -#- -on-_in-in-_on-on-,0.028985507246376812 -#- -used_for-_used_for-in-_on-on-,0.029850746268656716 -#- -used_for-_used_for-on-_on-on-,0.1038961038961039 -#- -made_of-_made_of-in-_on-on-,0.05 -#- -on-_in-used_for-_used_for-on-,0.05555555555555555 -#- -made_of-_made_of-made_of-_made_of-on-,0.03571428571428571 -#- -on-_in-made_of-_made_of-on-,0.01694915254237288 -#- -on-_on-on-_on-on-_on-on-,0.05319148936170213 -#- -on-_in-on-_on-on-_on-on-,0.06172839506172839 -#- -on-_in-in-_in-in-_in-on-,0.02631578947368421 -#- -on-_on-on-_in-on-_on-on-,0.041666666666666664 -#- -made_of-_made_of-on-_in-on-_on-on-,0.06153846153846154 -#- -made_of-_made_of-in-_in-on-_on-on-,0.025974025974025976 -#- -on-_in-in-_in-in-_on-on-,0.058823529411764705 -#- -used_for-_used_for-in-_in-on-_on-on-,0.05194805194805195 -#- -made_of-_made_of-on-_on-on-_on-on-,0.02247191011235955 -#- -on-_in-in-_in-on-_on-on-,0.028985507246376812 -#- -on-_in-in-_on-on-_on-on-,0.046875 -#- -on-_on-in-_in-on-_on-on-,0.056338028169014086 -#- -on-_on-on-_on-in-_on-on-,0.05333333333333334 -#- -on-_on-on-_on-on-_in-on-,0.06 -#- -used_for-_used_for-on-_on-in-_in-on-,0.047619047619047616 -#- -made_of-_made_of-in-_in-in-_on-on-,0.08333333333333333 -#- -used_for-_used_for-in-_on-in-_in-on-,0.07462686567164178 -#- -made_of-_made_of-on-_in-in-_in-on-,0.039473684210526314 -#- -on-_in-in-_in-on-_in-on-,0.08 -#- -on-_in-used_for-_used_for-in-_on-on-,0.037037037037037035 -#- -used_for-_used_for-in-_on-in-_on-on-,0.023809523809523808 -#- -used_for-_used_for-on-_in-on-_on-on-,0.045454545454545456
object:switch.n.01,location:oven.n.01	-1	-on-_on-on-,0.03225806451612903 -#- -on-_in-on-,0.008130081300813009 -#- -on-_on-in-,0.0547945205479452 -#- -on-,0.07142857142857142 -#- -made_of-_made_of-on-,0.048 -#- -on-_in-in-,0.08823529411764706 -#- -on-_on-on-_on-on-,0.061855670103092786 -#- -on-_on-in-_on-on-,0.012987012987012988 -#- -on-_on-on-_in-on-,0.07142857142857142 -#- -on-_in-on-_on-on-,0.02197802197802198 -#- -on-_in-in-_in-on-,0.04395604395604396 -#- -made_of-_made_of-on-_on-on-,0.017699115044247787 -#- -made_of-_made_of-on-_in-on-,0.021052631578947368 -#- -on-_in-in-_on-on-,0.037037037037037035 -#- -on-_on-made_of-_made_of-on-,0.023809523809523808 -#- -made_of-_made_of-in-_in-on-,0.03409090909090909 -#- -on-_on-used_for-_used_for-on-,0.05263157894736842 -#- -made_of-_made_of-in-,0.035398230088495575 -#- -made_of-_made_of-in-_on-on-,0.024390243902439025 -#- -on-_on-on-_on-in-,0.06172839506172839 -#- -on-_in-used_for-_used_for-on-,0.012195121951219513 -#- -made_of-_made_of-made_of-_made_of-on-,0.00980392156862745 -#- -on-_on-in-_in-in-,0.02531645569620253 -#- -on-_on-used_for-_used_for-in-,0.0125 -#- -on-_in-on-_on-in-,0.013333333333333334 -#- -on-_in-on-_in-on-,0.05405405405405406 -#- -on-_in-in-_in-in-,0.054945054945054944 -#- -made_of-_made_of-used_for-_used_for-on-,0.012658227848101266 -#- -on-_on-made_of-_made_of-in-,0.05128205128205128 -#- -on-_on-on-_on-on-_on-on-,0.047058823529411764 -#- -on-_in-in-_on-in-,0.039473684210526314 -#- -on-_on-in-_on-on-_on-on-,0.0625 -#- -on-_in-on-_on-on-_on-on-,0.01282051282051282 -#- -on-_in-in-_in-in-_in-on-,0.045454545454545456 -#- -on-_on-on-_in-on-_on-on-,0.08571428571428572 -#- -on-_on-on-_on-in-_in-on-,0.014492753623188406 -#- -on-_on-on-_on-used_for-_used_for-on-,0.019230769230769232 -#- -made_of-_made_of-on-_in-on-_on-on-,0.03278688524590164 -#- -on-_on-used_for-_used_for-in-_on-on-,0.15217391304347827 -#- -made_of-_made_of-in-_in-on-_on-on-,0.0625 -#- -on-_in-in-_in-in-_on-on-,0.06493506493506493 -#- -on-_in-in-_in-on-_on-on-,0.012345679012345678 -#- -on-_in-in-_on-on-_on-on-,0.1 -#- -on-_on-on-_on-on-_in-on-,0.014925373134328358 -#- -made_of-_made_of-in-_in-in-_on-on-,0.04838709677419355 -#- -made_of-_made_of-on-_in-used_for-_used_for-on-,0.05357142857142857 -#- -made_of-_made_of-on-_in-in-_in-on-,0.029850746268656716 -#- -made_of-_made_of-used_for-_used_for-in-,0.024390243902439025 -#- -made_of-_made_of-in-_in-made_of-_made_of-on-,0.01639344262295082 -#- -on-_in-made_of-_made_of-on-_on-on-,0.045454545454545456 -#- -made_of-_made_of-on-_on-in-,0.010869565217391304 -#- -made_of-_made_of-in-_on-in-,0.06315789473684211
