object:hanger.n.02,material:wood.n.01	1	-on-_on-made_of-,0.06293706293706294 -#- -used_for-_used_for-made_of-,0.27049180327868855 -#- -on-_in-made_of-,0.028169014084507043 -#- -in-_in-made_of-,0.05813953488372093 -#- -in-_on-made_of-,0.0625 -#- -in-_in-in-_in-made_of-,0.06382978723404255 -#- -on-_in-in-_in-made_of-,0.0625 -#- -on-_on-on-_on-made_of-,0.06818181818181818 -#- -in-_in-on-_on-made_of-,0.05357142857142857 -#- -in-_on-used_for-_used_for-made_of-,0.029411764705882353 -#- -on-_on-made_of-_made_of-made_of-,0.036585365853658534 -#- -in-_on-on-_on-made_of-,0.03333333333333333 -#- -on-_on-in-_on-made_of-,0.078125 -#- -in-_in-on-_in-made_of-,0.1282051282051282 -#- -on-_on-in-_in-made_of-,0.08974358974358974 -#- -on-_on-on-_in-made_of-,0.13043478260869565 -#- -used_for-_used_for-on-_on-made_of-,0.11764705882352941 -#- -used_for-_used_for-used_for-_used_for-made_of-,0.20481927710843373 -#- -on-_on-used_for-_used_for-made_of-,0.12345679012345678 -#- -on-_in-on-_in-made_of-,0.024390243902439025 -#- -on-_in-on-_on-made_of-,0.05660377358490566 -#- -in-_on-on-_in-made_of-,0.13043478260869565 -#- -in-_on-in-_in-made_of-,0.05454545454545454 -#- -in-_in-in-_on-made_of-,0.047619047619047616 -#- -used_for-_used_for-in-_on-made_of-,0.05555555555555555 -#- -used_for-_used_for-on-_in-made_of-,0.023809523809523808 -#- -on-_in-used_for-_used_for-made_of-,0.04081632653061224 -#- -on-_in-in-_on-used_for-_used_for-made_of-,0.125 -#- -on-_on-in-_in-in-_in-made_of-,0.09302325581395349 -#- -on-_on-in-_on-used_for-_used_for-made_of-,0.10416666666666667 -#- -used_for-_used_for-in-_in-in-_in-made_of-,0.05405405405405406 -#- -used_for-_used_for-made_of-_made_of-made_of-,0.2361111111111111 -#- -used_for-_used_for-on-_on-used_for-_used_for-made_of-,0.16666666666666666 -#- -used_for-_used_for-on-_in-on-_on-made_of-,0.03225806451612903 -#- -used_for-_used_for-in-_on-used_for-_used_for-made_of-,0.02631578947368421 -#- -on-_on-on-_on-in-_on-made_of-,0.08823529411764706 -#- -on-_on-on-_on-on-_in-made_of-,0.05405405405405406 -#- -in-_on-in-_in-in-_in-made_of-,0.027777777777777776 -#- -on-_on-on-_in-in-_in-made_of-,0.038461538461538464 -#- -in-_on-in-_on-made_of-,0.058823529411764705 -#- -on-_in-in-_on-made_of-,0.02127659574468085 -#- -on-_on-in-_in-on-_on-made_of-,0.0625 -#- -used_for-_used_for-on-_on-on-_in-made_of-,0.07142857142857142 -#- -in-_in-made_of-_made_of-made_of-,0.11320754716981132 -#- -in-_on-used_for-_used_for-on-_in-made_of-,0.03571428571428571 -#- -in-_on-used_for-_used_for-on-_on-made_of-,0.046511627906976744 -#- -in-_in-in-_in-on-_on-made_of-,0.04 -#- -used_for-_used_for-in-_on-on-_on-made_of-,0.05128205128205128 -#- -on-_in-in-_in-in-_in-made_of-,0.045454545454545456 -#- -in-_in-in-_in-on-_in-made_of-,0.02857142857142857 -#- -in-_on-on-_on-on-_in-made_of-,0.029411764705882353 -#- -on-_in-on-_on-on-_on-made_of-,0.1111111111111111 -#- -used_for-_used_for-in-_on-on-_in-made_of-,0.15384615384615385 -#- -on-_in-on-_on-on-_in-made_of-,0.12
object:cutting_board.n.01,material:ceramic.n.01	-1	-on-_on-made_of-,0.17647058823529413 -#- -on-_in-made_of-,0.14634146341463414 -#- -in-_in-made_of-,0.13709677419354838 -#- -in-_on-made_of-,0.07692307692307693 -#- -in-_in-in-_in-made_of-,0.15942028985507245 -#- -on-_in-in-_in-made_of-,0.10909090909090909 -#- -on-_on-on-_on-made_of-,0.08 -#- -in-_in-on-_on-made_of-,0.057971014492753624 -#- -in-_on-used_for-_used_for-made_of-,0.14925373134328357 -#- -on-_on-made_of-_made_of-made_of-,0.09090909090909091 -#- -in-_on-on-_on-made_of-,0.01694915254237288 -#- -on-_on-in-_on-made_of-,0.08928571428571429 -#- -in-_in-on-_in-made_of-,0.0784313725490196 -#- -on-_on-in-_in-made_of-,0.14583333333333334 -#- -on-_on-on-_in-made_of-,0.10714285714285714 -#- -used_for-_used_for-on-_on-made_of-,0.1791044776119403 -#- -used_for-_used_for-used_for-_used_for-made_of-,0.0625 -#- -on-_on-used_for-_used_for-made_of-,0.12790697674418605 -#- -on-_in-on-_in-made_of-,0.07017543859649122 -#- -on-_in-on-_on-made_of-,0.24193548387096775 -#- -in-_on-on-_in-made_of-,0.18604651162790697 -#- -in-_on-in-_in-made_of-,0.06521739130434782 -#- -in-_in-in-_on-made_of-,0.05454545454545454 -#- -used_for-_used_for-in-_in-made_of-,0.08771929824561403 -#- -used_for-_used_for-in-_on-made_of-,0.09090909090909091 -#- -used_for-_used_for-on-_in-made_of-,0.07272727272727272 -#- -on-_in-used_for-_used_for-made_of-,0.15492957746478872 -#- -on-_in-in-_on-used_for-_used_for-made_of-,0.23404255319148937 -#- -on-_on-in-_in-in-_in-made_of-,0.06976744186046512 -#- -on-_on-in-_on-used_for-_used_for-made_of-,0.19607843137254902 -#- -used_for-_used_for-in-_in-in-_in-made_of-,0.1724137931034483 -#- -used_for-_used_for-made_of-_made_of-made_of-,0.046153846153846156 -#- -used_for-_used_for-on-_on-used_for-_used_for-made_of-,0.11764705882352941 -#- -used_for-_used_for-on-_in-on-_on-made_of-,0.11764705882352941 -#- -in-_in-in-_on-used_for-_used_for-made_of-,0.05128205128205128 -#- -used_for-_used_for-in-_on-used_for-_used_for-made_of-,0.022727272727272728 -#- -on-_on-on-_on-in-_on-made_of-,0.14285714285714285 -#- -used_for-_used_for-on-_in-in-_in-made_of-,0.21951219512195122 -#- -on-_on-on-_on-on-_in-made_of-,0.06896551724137931 -#- -in-_on-in-_in-in-_in-made_of-,0.021739130434782608 -#- -on-_on-on-_in-in-_in-made_of-,0.09375 -#- -in-_on-in-_on-made_of-,0.06153846153846154 -#- -on-_in-in-_on-made_of-,0.14035087719298245 -#- -on-_on-in-_in-on-_on-made_of-,0.075 -#- -used_for-_used_for-on-_on-on-_in-made_of-,0.038461538461538464 -#- -in-_in-made_of-_made_of-made_of-,0.06944444444444445 -#- -in-_on-on-_on-on-_on-made_of-,0.07547169811320754 -#- -in-_on-used_for-_used_for-on-_in-made_of-,0.125 -#- -in-_on-used_for-_used_for-on-_on-made_of-,0.023809523809523808 -#- -in-_in-in-_in-on-_on-made_of-,0.0625 -#- -on-_in-in-_in-in-_in-made_of-,0.12121212121212122 -#- -in-_on-on-_on-on-_in-made_of-,0.07142857142857142 -#- -on-_in-on-_on-on-_on-made_of-,0.061224489795918366 -#- -used_for-_used_for-in-_on-on-_in-made_of-,0.058823529411764705 -#- -on-_in-on-_on-on-_in-made_of-,0.12121212121212122
object:spoon.n.01,material:metal.n.02	1	-on-_on-made_of-,0.48598130841121495 -#- -used_for-_used_for-made_of-,0.47413793103448276 -#- -on-_in-made_of-,0.3584905660377358 -#- -in-_in-made_of-,0.46153846153846156 -#- -in-_on-made_of-,0.40217391304347827 -#- -in-_in-in-_in-made_of-,0.29411764705882354 -#- -on-_in-in-_in-made_of-,0.6 -#- -on-_on-on-_on-made_of-,0.37037037037037035 -#- -in-_in-on-_on-made_of-,0.1590909090909091 -#- -in-_on-used_for-_used_for-made_of-,0.5223880597014925 -#- -on-_on-made_of-_made_of-made_of-,0.22807017543859648 -#- -in-_on-on-_on-made_of-,0.3469387755102041 -#- -on-_on-in-_on-made_of-,0.38 -#- -in-_in-on-_in-made_of-,0.3333333333333333 -#- -on-_on-in-_in-made_of-,0.2641509433962264 -#- -on-_on-on-_in-made_of-,0.38461538461538464 -#- -used_for-_used_for-on-_on-made_of-,0.2631578947368421 -#- -used_for-_used_for-used_for-_used_for-made_of-,0.4107142857142857 -#- -on-_on-used_for-_used_for-made_of-,0.425 -#- -on-_in-on-_in-made_of-,0.4375 -#- -on-_in-on-_on-made_of-,0.2857142857142857 -#- -in-_on-on-_in-made_of-,0.4090909090909091 -#- -in-_on-in-_in-made_of-,0.4230769230769231 -#- -in-_in-in-_on-made_of-,0.36363636363636365 -#- -used_for-_used_for-in-_in-made_of-,0.3333333333333333 -#- -used_for-_used_for-in-_on-made_of-,0.2545454545454545 -#- -used_for-_used_for-on-_in-made_of-,0.32558139534883723 -#- -on-_in-used_for-_used_for-made_of-,0.47058823529411764 -#- -on-_in-in-_on-used_for-_used_for-made_of-,0.4444444444444444 -#- -on-_on-in-_in-in-_in-made_of-,0.4523809523809524 -#- -on-_on-in-_on-used_for-_used_for-made_of-,0.6739130434782609 -#- -used_for-_used_for-in-_in-in-_in-made_of-,0.42857142857142855 -#- -used_for-_used_for-made_of-_made_of-made_of-,0.3968253968253968 -#- -used_for-_used_for-on-_on-used_for-_used_for-made_of-,0.5384615384615384 -#- -used_for-_used_for-on-_in-on-_on-made_of-,0.35294117647058826 -#- -in-_in-in-_on-used_for-_used_for-made_of-,0.5454545454545454 -#- -used_for-_used_for-in-_on-used_for-_used_for-made_of-,0.62 -#- -on-_on-on-_on-in-_on-made_of-,0.32142857142857145 -#- -used_for-_used_for-on-_in-in-_in-made_of-,0.3235294117647059 -#- -on-_on-on-_on-on-_in-made_of-,0.32142857142857145 -#- -in-_on-in-_in-in-_in-made_of-,0.4838709677419355 -#- -on-_on-on-_in-in-_in-made_of-,0.15625 -#- -in-_on-in-_on-made_of-,0.24615384615384617 -#- -on-_in-in-_on-made_of-,0.3333333333333333 -#- -on-_on-in-_in-on-_on-made_of-,0.2564102564102564 -#- -used_for-_used_for-on-_on-on-_in-made_of-,0.5 -#- -in-_in-made_of-_made_of-made_of-,0.30434782608695654 -#- -in-_on-on-_on-on-_on-made_of-,0.32432432432432434 -#- -in-_on-used_for-_used_for-on-_in-made_of-,0.3448275862068966 -#- -in-_on-used_for-_used_for-on-_on-made_of-,0.375 -#- -in-_in-in-_in-on-_on-made_of-,0.17777777777777778 -#- -used_for-_used_for-in-_on-on-_on-made_of-,0.3793103448275862 -#- -on-_in-in-_in-in-_in-made_of-,0.36363636363636365 -#- -in-_in-in-_in-on-_in-made_of-,0.391304347826087 -#- -in-_on-on-_on-on-_in-made_of-,0.2962962962962963 -#- -on-_in-on-_on-on-_on-made_of-,0.5 -#- -used_for-_used_for-in-_on-on-_in-made_of-,0.41379310344827586 -#- -on-_in-on-_on-on-_in-made_of-,0.20833333333333334
object:table.n.02,material:plastic.n.01	-1	-used_for-_used_for-in-_in-in-_in-made_of-,0.0625 -#- -used_for-_used_for-made_of-,0.16831683168316833 -#- -used_for-_used_for-made_of-_made_of-made_of-,0.20754716981132076 -#- -used_for-_used_for-on-_on-used_for-_used_for-made_of-,0.10256410256410256 -#- -used_for-_used_for-on-_in-on-_on-made_of-,0.2 -#- -used_for-_used_for-in-_on-used_for-_used_for-made_of-,0.08571428571428572 -#- -used_for-_used_for-on-_in-in-_in-made_of-,0.17391304347826086 -#- -used_for-_used_for-on-_on-on-_in-made_of-,0.4583333333333333 -#- -used_for-_used_for-on-_on-made_of-,0.29310344827586204 -#- -used_for-_used_for-used_for-_used_for-made_of-,0.2361111111111111 -#- -used_for-_used_for-in-_on-on-_on-made_of-,0.2972972972972973 -#- -used_for-_used_for-in-_in-made_of-,0.3181818181818182 -#- -used_for-_used_for-in-_on-made_of-,0.2391304347826087 -#- -used_for-_used_for-on-_in-made_of-,0.28888888888888886 -#- -used_for-_used_for-in-_on-on-_in-made_of-,0.24
object:spoon.n.01,material:plastic.n.01	1	-on-_on-made_of-,0.17757009345794392 -#- -used_for-_used_for-made_of-,0.10344827586206896 -#- -on-_in-made_of-,0.2830188679245283 -#- -in-_in-made_of-,0.18461538461538463 -#- -in-_on-made_of-,0.29347826086956524 -#- -in-_in-in-_in-made_of-,0.20588235294117646 -#- -on-_in-in-_in-made_of-,0.18 -#- -on-_on-on-_on-made_of-,0.14814814814814814 -#- -in-_in-on-_on-made_of-,0.2727272727272727 -#- -in-_on-used_for-_used_for-made_of-,0.07462686567164178 -#- -on-_on-made_of-_made_of-made_of-,0.22807017543859648 -#- -in-_on-on-_on-made_of-,0.2857142857142857 -#- -on-_on-in-_on-made_of-,0.2 -#- -in-_in-on-_in-made_of-,0.2619047619047619 -#- -on-_on-in-_in-made_of-,0.1509433962264151 -#- -on-_on-on-_in-made_of-,0.20512820512820512 -#- -used_for-_used_for-on-_on-made_of-,0.21052631578947367 -#- -used_for-_used_for-used_for-_used_for-made_of-,0.17857142857142858 -#- -on-_on-used_for-_used_for-made_of-,0.125 -#- -on-_in-on-_in-made_of-,0.15625 -#- -on-_in-on-_on-made_of-,0.22448979591836735 -#- -in-_on-on-_in-made_of-,0.18181818181818182 -#- -in-_on-in-_in-made_of-,0.1346153846153846 -#- -in-_in-in-_on-made_of-,0.2 -#- -used_for-_used_for-in-_in-made_of-,0.1568627450980392 -#- -used_for-_used_for-in-_on-made_of-,0.18181818181818182 -#- -used_for-_used_for-on-_in-made_of-,0.3953488372093023 -#- -on-_in-used_for-_used_for-made_of-,0.21568627450980393 -#- -on-_in-in-_on-used_for-_used_for-made_of-,0.1111111111111111 -#- -on-_on-in-_in-in-_in-made_of-,0.14285714285714285 -#- -on-_on-in-_on-used_for-_used_for-made_of-,0.10869565217391304 -#- -used_for-_used_for-in-_in-in-_in-made_of-,0.14285714285714285 -#- -used_for-_used_for-made_of-_made_of-made_of-,0.15873015873015872 -#- -used_for-_used_for-on-_on-used_for-_used_for-made_of-,0.038461538461538464 -#- -used_for-_used_for-on-_in-on-_on-made_of-,0.14705882352941177 -#- -in-_in-in-_on-used_for-_used_for-made_of-,0.13636363636363635 -#- -used_for-_used_for-in-_on-used_for-_used_for-made_of-,0.06 -#- -on-_on-on-_on-in-_on-made_of-,0.32142857142857145 -#- -used_for-_used_for-on-_in-in-_in-made_of-,0.23529411764705882 -#- -on-_on-on-_on-on-_in-made_of-,0.25 -#- -in-_on-in-_in-in-_in-made_of-,0.22580645161290322 -#- -on-_on-on-_in-in-_in-made_of-,0.28125 -#- -in-_on-in-_on-made_of-,0.26153846153846155 -#- -on-_in-in-_on-made_of-,0.2708333333333333 -#- -on-_on-in-_in-on-_on-made_of-,0.28205128205128205 -#- -used_for-_used_for-on-_on-on-_in-made_of-,0.4166666666666667 -#- -in-_in-made_of-_made_of-made_of-,0.17391304347826086 -#- -in-_on-on-_on-on-_on-made_of-,0.16216216216216217 -#- -in-_on-used_for-_used_for-on-_in-made_of-,0.3103448275862069 -#- -in-_on-used_for-_used_for-on-_on-made_of-,0.125 -#- -in-_in-in-_in-on-_on-made_of-,0.24444444444444444 -#- -used_for-_used_for-in-_on-on-_on-made_of-,0.20689655172413793 -#- -on-_in-in-_in-in-_in-made_of-,0.18181818181818182 -#- -in-_in-in-_in-on-_in-made_of-,0.391304347826087 -#- -in-_on-on-_on-on-_in-made_of-,0.14814814814814814 -#- -on-_in-on-_on-on-_on-made_of-,0.16666666666666666 -#- -used_for-_used_for-in-_on-on-_in-made_of-,0.20689655172413793 -#- -on-_in-on-_on-on-_in-made_of-,0.3333333333333333
object:table.n.02,material:glass.n.01	1	-used_for-_used_for-in-_in-in-_in-made_of-,0.14583333333333334 -#- -used_for-_used_for-made_of-,0.0594059405940594 -#- -used_for-_used_for-made_of-_made_of-made_of-,0.09433962264150944 -#- -used_for-_used_for-on-_on-used_for-_used_for-made_of-,0.07692307692307693 -#- -used_for-_used_for-on-_in-on-_on-made_of-,0.03333333333333333 -#- -used_for-_used_for-in-_on-used_for-_used_for-made_of-,0.05714285714285714 -#- -used_for-_used_for-on-_on-on-_in-made_of-,0.08333333333333333 -#- -used_for-_used_for-on-_on-made_of-,0.08620689655172414 -#- -used_for-_used_for-used_for-_used_for-made_of-,0.041666666666666664 -#- -used_for-_used_for-in-_on-on-_on-made_of-,0.10810810810810811 -#- -used_for-_used_for-in-_in-made_of-,0.045454545454545456 -#- -used_for-_used_for-in-_on-made_of-,0.08695652173913043 -#- -used_for-_used_for-on-_in-made_of-,0.06666666666666667 -#- -used_for-_used_for-in-_on-on-_in-made_of-,0.12
object:spoon.n.01,material:glass.n.01	-1	-on-_on-made_of-,0.07476635514018691 -#- -used_for-_used_for-made_of-,0.1810344827586207 -#- -on-_in-made_of-,0.018867924528301886 -#- -in-_in-made_of-,0.06153846153846154 -#- -in-_on-made_of-,0.03260869565217391 -#- -on-_in-in-_in-made_of-,0.08 -#- -on-_on-on-_on-made_of-,0.14814814814814814 -#- -in-_in-on-_on-made_of-,0.09090909090909091 -#- -in-_on-used_for-_used_for-made_of-,0.1791044776119403 -#- -on-_on-made_of-_made_of-made_of-,0.08771929824561403 -#- -in-_on-on-_on-made_of-,0.14285714285714285 -#- -on-_on-in-_on-made_of-,0.04 -#- -in-_in-on-_in-made_of-,0.09523809523809523 -#- -on-_on-in-_in-made_of-,0.05660377358490566 -#- -on-_on-on-_in-made_of-,0.02564102564102564 -#- -used_for-_used_for-on-_on-made_of-,0.07017543859649122 -#- -used_for-_used_for-used_for-_used_for-made_of-,0.017857142857142856 -#- -on-_on-used_for-_used_for-made_of-,0.1125 -#- -on-_in-on-_in-made_of-,0.09375 -#- -on-_in-on-_on-made_of-,0.061224489795918366 -#- -in-_on-on-_in-made_of-,0.13636363636363635 -#- -in-_on-in-_in-made_of-,0.11538461538461539 -#- -in-_in-in-_on-made_of-,0.16363636363636364 -#- -used_for-_used_for-in-_in-made_of-,0.09803921568627451 -#- -used_for-_used_for-in-_on-made_of-,0.16363636363636364 -#- -used_for-_used_for-on-_in-made_of-,0.09302325581395349 -#- -on-_in-used_for-_used_for-made_of-,0.13725490196078433 -#- -on-_in-in-_on-used_for-_used_for-made_of-,0.06666666666666667 -#- -on-_on-in-_in-in-_in-made_of-,0.07142857142857142 -#- -on-_on-in-_on-used_for-_used_for-made_of-,0.021739130434782608 -#- -used_for-_used_for-in-_in-in-_in-made_of-,0.11428571428571428 -#- -used_for-_used_for-made_of-_made_of-made_of-,0.07936507936507936 -#- -used_for-_used_for-on-_on-used_for-_used_for-made_of-,0.21153846153846154 -#- -used_for-_used_for-on-_in-on-_on-made_of-,0.14705882352941177 -#- -in-_in-in-_on-used_for-_used_for-made_of-,0.06818181818181818 -#- -used_for-_used_for-in-_on-used_for-_used_for-made_of-,0.02 -#- -on-_on-on-_on-in-_on-made_of-,0.14285714285714285 -#- -used_for-_used_for-on-_in-in-_in-made_of-,0.058823529411764705 -#- -on-_on-on-_on-on-_in-made_of-,0.14285714285714285 -#- -in-_on-in-_in-in-_in-made_of-,0.03225806451612903 -#- -on-_on-on-_in-in-_in-made_of-,0.125 -#- -in-_on-in-_on-made_of-,0.06153846153846154 -#- -on-_in-in-_on-made_of-,0.1875 -#- -on-_on-in-_in-on-_on-made_of-,0.07692307692307693 -#- -used_for-_used_for-on-_on-on-_in-made_of-,0.041666666666666664 -#- -in-_in-made_of-_made_of-made_of-,0.17391304347826086 -#- -in-_on-on-_on-on-_on-made_of-,0.08108108108108109 -#- -in-_on-used_for-_used_for-on-_in-made_of-,0.06896551724137931 -#- -in-_on-used_for-_used_for-on-_on-made_of-,0.09375 -#- -in-_in-in-_in-on-_on-made_of-,0.17777777777777778 -#- -used_for-_used_for-in-_on-on-_on-made_of-,0.1724137931034483 -#- -on-_in-in-_in-in-_in-made_of-,0.1590909090909091 -#- -in-_in-in-_in-on-_in-made_of-,0.08695652173913043 -#- -in-_on-on-_on-on-_in-made_of-,0.037037037037037035 -#- -on-_in-on-_on-on-_on-made_of-,0.1111111111111111 -#- -used_for-_used_for-in-_on-on-_in-made_of-,0.034482758620689655 -#- -on-_in-on-_on-on-_in-made_of-,0.08333333333333333
object:table.n.02,material:wood.n.01	1	-used_for-_used_for-in-_in-in-_in-made_of-,0.020833333333333332 -#- -used_for-_used_for-made_of-,0.36633663366336633 -#- -used_for-_used_for-made_of-_made_of-made_of-,0.1509433962264151 -#- -used_for-_used_for-on-_on-used_for-_used_for-made_of-,0.15384615384615385 -#- -used_for-_used_for-on-_in-on-_on-made_of-,0.03333333333333333 -#- -used_for-_used_for-in-_on-used_for-_used_for-made_of-,0.11428571428571428 -#- -used_for-_used_for-on-_in-in-_in-made_of-,0.08695652173913043 -#- -used_for-_used_for-on-_on-on-_in-made_of-,0.041666666666666664 -#- -used_for-_used_for-on-_on-made_of-,0.05172413793103448 -#- -used_for-_used_for-used_for-_used_for-made_of-,0.2638888888888889 -#- -used_for-_used_for-in-_in-made_of-,0.022727272727272728 -#- -used_for-_used_for-in-_on-made_of-,0.021739130434782608 -#- -used_for-_used_for-on-_in-made_of-,0.06666666666666667 -#- -used_for-_used_for-in-_on-on-_in-made_of-,0.08
object:knife.n.01,material:ceramic.n.01	-1	-on-_on-made_of-,0.09174311926605505 -#- -used_for-_used_for-made_of-,0.0625 -#- -on-_in-made_of-,0.06557377049180328 -#- -in-_in-made_of-,0.044444444444444446 -#- -in-_on-made_of-,0.11711711711711711 -#- -in-_in-in-_in-made_of-,0.2727272727272727 -#- -on-_in-in-_in-made_of-,0.09523809523809523 -#- -on-_on-on-_on-made_of-,0.037037037037037035 -#- -in-_in-on-_on-made_of-,0.046153846153846156 -#- -in-_on-used_for-_used_for-made_of-,0.05970149253731343 -#- -on-_on-made_of-_made_of-made_of-,0.10606060606060606 -#- -in-_on-on-_on-made_of-,0.14285714285714285 -#- -on-_on-in-_on-made_of-,0.16363636363636364 -#- -in-_in-on-_in-made_of-,0.06818181818181818 -#- -on-_on-in-_in-made_of-,0.2833333333333333 -#- -on-_on-on-_in-made_of-,0.027777777777777776 -#- -used_for-_used_for-on-_on-made_of-,0.0851063829787234 -#- -used_for-_used_for-used_for-_used_for-made_of-,0.05970149253731343 -#- -on-_on-used_for-_used_for-made_of-,0.15714285714285714 -#- -on-_in-on-_in-made_of-,0.1935483870967742 -#- -on-_in-on-_on-made_of-,0.08695652173913043 -#- -in-_on-on-_in-made_of-,0.0975609756097561 -#- -in-_on-in-_in-made_of-,0.2 -#- -in-_in-in-_on-made_of-,0.05660377358490566 -#- -used_for-_used_for-in-_in-made_of-,0.10909090909090909 -#- -used_for-_used_for-in-_on-made_of-,0.17307692307692307 -#- -used_for-_used_for-on-_in-made_of-,0.07407407407407407 -#- -on-_in-used_for-_used_for-made_of-,0.03636363636363636 -#- -on-_in-in-_on-used_for-_used_for-made_of-,0.02631578947368421 -#- -on-_on-in-_in-in-_in-made_of-,0.08333333333333333 -#- -on-_on-in-_on-used_for-_used_for-made_of-,0.08 -#- -made_of-_made_of-made_of-,0.034482758620689655 -#- -used_for-_used_for-in-_in-in-_in-made_of-,0.1282051282051282 -#- -used_for-_used_for-made_of-_made_of-made_of-,0.05084745762711865 -#- -used_for-_used_for-on-_on-used_for-_used_for-made_of-,0.0851063829787234 -#- -used_for-_used_for-on-_in-on-_on-made_of-,0.09090909090909091 -#- -in-_in-in-_on-used_for-_used_for-made_of-,0.04878048780487805 -#- -used_for-_used_for-in-_on-used_for-_used_for-made_of-,0.08108108108108109 -#- -on-_on-on-_on-in-_on-made_of-,0.0851063829787234 -#- -used_for-_used_for-on-_in-in-_in-made_of-,0.08823529411764706 -#- -on-_on-on-_on-on-_in-made_of-,0.3333333333333333 -#- -on-_on-on-_in-in-_in-made_of-,0.10714285714285714 -#- -in-_on-in-_on-made_of-,0.06 -#- -on-_in-in-_on-made_of-,0.06 -#- -on-_on-in-_in-on-_on-made_of-,0.0196078431372549 -#- -used_for-_used_for-on-_on-on-_in-made_of-,0.1282051282051282 -#- -in-_in-made_of-_made_of-made_of-,0.125 -#- -made_of-_made_of-in-_on-made_of-,0.125 -#- -made_of-_made_of-in-_in-in-_in-made_of-,0.1724137931034483 -#- -in-_on-on-_on-on-_on-made_of-,0.07407407407407407 -#- -in-_on-used_for-_used_for-on-_in-made_of-,0.08695652173913043 -#- -in-_on-used_for-_used_for-on-_on-made_of-,0.027777777777777776 -#- -in-_in-in-_in-on-_on-made_of-,0.2033898305084746 -#- -used_for-_used_for-in-_on-on-_on-made_of-,0.07692307692307693 -#- -on-_in-in-_in-in-_in-made_of-,0.03125 -#- -in-_in-in-_in-on-_in-made_of-,0.13043478260869565 -#- -in-_on-on-_on-on-_in-made_of-,0.05405405405405406 -#- -made_of-_made_of-on-_on-made_of-,0.014705882352941176 -#- -used_for-_used_for-in-_on-on-_in-made_of-,0.038461538461538464 -#- -made_of-_made_of-on-_in-made_of-,0.08695652173913043 -#- -on-_in-on-_on-on-_in-made_of-,0.09090909090909091
object:knob.n.02,material:metal.n.02	1	-on-_on-made_of-,0.29411764705882354 -#- -on-_in-made_of-,0.36363636363636365 -#- -on-_in-in-_in-made_of-,0.42857142857142855 -#- -on-_on-on-_on-in-_on-made_of-,0.475 -#- -on-_on-on-_on-made_of-,0.2222222222222222 -#- -on-_on-on-_on-on-_in-made_of-,0.6060606060606061 -#- -on-_on-made_of-_made_of-made_of-,0.23529411764705882 -#- -on-_on-on-_in-in-_in-made_of-,0.5641025641025641 -#- -on-_in-in-_on-made_of-,0.33962264150943394 -#- -on-_on-in-_on-made_of-,0.2727272727272727 -#- -on-_on-in-_in-on-_on-made_of-,0.40425531914893614 -#- -on-_on-in-_in-made_of-,0.2564102564102564 -#- -on-_on-on-_in-made_of-,0.4807692307692308 -#- -on-_on-used_for-_used_for-made_of-,0.46875 -#- -on-_in-on-_in-made_of-,0.22448979591836735 -#- -on-_in-on-_on-made_of-,0.4745762711864407 -#- -on-_in-in-_in-in-_in-made_of-,0.4634146341463415 -#- -on-_in-used_for-_used_for-made_of-,0.5972222222222222 -#- -on-_in-on-_on-on-_on-made_of-,0.38095238095238093 -#- -on-_in-in-_on-used_for-_used_for-made_of-,0.4791666666666667 -#- -on-_on-in-_in-in-_in-made_of-,0.375 -#- -on-_in-on-_on-on-_in-made_of-,0.4857142857142857 -#- -on-_on-in-_on-used_for-_used_for-made_of-,0.425
