object:knob.n.02,location:faucet.n.01	1	-made_of-_made_of-on-_on-in-,0.013513513513513514
object:candle.n.01,location:jar.n.01	-1	-in-_in-in-,0.05309734513274336 -#- -in-_on-in-,0.0380952380952381 -#- -in-_on-on-,0.018867924528301886 -#- -in-_in-on-_on-in-,0.012658227848101266 -#- -in-_in-in-_on-in-,0.024390243902439025 -#- -in-_on-on-_on-on-,0.010526315789473684 -#- -in-_in-in-_in-in-,0.06 -#- -in-,0.1553030303030303 -#- -in-_in-on-_in-in-,0.1111111111111111 -#- -in-_on-in-_on-in-,0.034482758620689655 -#- -used_for-_used_for-used_for-_used_for-in-,0.025 -#- -used_for-_used_for-in-_in-on-,0.012658227848101266 -#- -in-_on-used_for-_used_for-in-,0.023529411764705882 -#- -in-_on-used_for-_used_for-on-,0.012658227848101266 -#- -in-_on-on-_on-in-_in-in-,0.013888888888888888 -#- -in-_on-on-_on-on-_on-in-,0.031746031746031744 -#- -used_for-_used_for-in-_on-on-,0.02702702702702703 -#- -in-_on-on-_in-on-_on-in-,0.03571428571428571 -#- -used_for-_used_for-on-_on-on-_on-on-,0.045454545454545456 -#- -in-_in-in-_in-on-_on-in-,0.04054054054054054 -#- -used_for-_used_for-on-_on-on-_on-in-,0.017857142857142856 -#- -in-_in-on-_in-on-_in-in-,0.025 -#- -in-_on-in-_in-on-_on-in-,0.02702702702702703 -#- -in-_on-on-_in-in-_on-on-,0.0392156862745098 -#- -in-_in-used_for-_used_for-on-_in-in-,0.024390243902439025
object:candle.n.01,location:basket.n.01	1	-in-_in-in-,0.035398230088495575 -#- -in-_on-in-,0.08571428571428572 -#- -in-_in-on-,0.028846153846153848 -#- -in-_on-on-,0.018867924528301886 -#- -in-_in-on-_on-in-,0.0379746835443038 -#- -in-_on-on-_on-in-,0.037037037037037035 -#- -in-_in-in-_on-in-,0.04878048780487805 -#- -in-_on-on-_on-on-,0.010526315789473684 -#- -in-_in-in-_in-in-,0.03 -#- -in-_in-on-_in-in-,0.027777777777777776 -#- -in-_on-on-_in-in-,0.04819277108433735 -#- -used_for-_used_for-on-_on-in-,0.07142857142857142 -#- -in-_in-on-_on-on-,0.010869565217391304 -#- -in-_on-in-_in-in-,0.11764705882352941 -#- -used_for-_used_for-on-_in-in-,0.015625 -#- -used_for-_used_for-in-_in-in-,0.02564102564102564 -#- -in-_on-in-_on-in-,0.08045977011494253 -#- -in-_in-made_of-_made_of-in-,0.21518987341772153 -#- -in-_in-used_for-_used_for-in-,0.13861386138613863 -#- -in-_in-in-_on-on-,0.011363636363636364 -#- -used_for-_used_for-in-_in-on-,0.012658227848101266 -#- -in-_in-used_for-_used_for-on-,0.013333333333333334 -#- -used_for-_used_for-in-_on-in-,0.028985507246376812 -#- -in-_on-used_for-_used_for-in-,0.16470588235294117 -#- -in-_on-made_of-_made_of-in-,0.12857142857142856 -#- -used_for-_used_for-on-_in-on-,0.01639344262295082 -#- -in-_in-on-_on-on-_on-on-,0.011764705882352941 -#- -in-_on-on-_on-in-_in-in-,0.05555555555555555 -#- -in-_on-in-_on-on-,0.025974025974025976 -#- -in-_on-on-_on-on-_on-in-,0.07936507936507936 -#- -used_for-_used_for-made_of-_made_of-in-,0.0958904109589041 -#- -in-_on-on-_in-on-_on-in-,0.07142857142857142 -#- -in-_in-in-_in-on-_on-in-,0.04054054054054054 -#- -used_for-_used_for-on-_in-in-_on-in-,0.05405405405405406 -#- -used_for-_used_for-on-_on-on-_on-in-,0.17857142857142858 -#- -in-_on-on-_on-in-_on-in-,0.09615384615384616 -#- -in-_in-made_of-_made_of-on-_on-on-,0.0392156862745098 -#- -in-_in-on-_in-on-_on-in-,0.017543859649122806 -#- -used_for-_used_for-in-_in-on-_in-in-,0.061224489795918366 -#- -in-_in-on-_in-on-_in-in-,0.05 -#- -in-_on-in-_in-on-_on-in-,0.13513513513513514 -#- -in-_on-on-_on-used_for-_used_for-in-,0.034482758620689655 -#- -in-_on-on-_in-in-_on-on-,0.0196078431372549 -#- -in-_in-used_for-_used_for-on-_in-in-,0.024390243902439025 -#- -in-_in-in-_on-on-_in-in-,0.04838709677419355 -#- -used_for-_used_for-on-_on-in-_in-in-,0.06896551724137931 -#- -used_for-_used_for-in-_in-used_for-_used_for-in-,0.07792207792207792
object:candle.n.01,location:bowl.n.01	1	-in-_in-in-,0.07964601769911504 -#- -in-_on-in-,0.0380952380952381 -#- -in-_in-on-,0.019230769230769232 -#- -in-_on-on-,0.02830188679245283 -#- -used_for-_used_for-in-,0.0891089108910891 -#- -in-_in-on-_on-in-,0.06329113924050633 -#- -in-_on-on-_on-in-,0.037037037037037035 -#- -in-_in-in-_on-in-,0.04878048780487805 -#- -in-_on-on-_on-on-,0.031578947368421054 -#- -in-_in-in-_in-in-,0.07 -#- -in-,0.29545454545454547 -#- -in-_on-on-_in-in-,0.08433734939759036 -#- -in-_in-on-_on-on-,0.021739130434782608 -#- -in-_on-in-_in-in-,0.029411764705882353 -#- -used_for-_used_for-in-_in-in-,0.038461538461538464 -#- -in-_on-in-_on-in-,0.022988505747126436 -#- -in-_in-made_of-_made_of-in-,0.02531645569620253 -#- -in-_in-used_for-_used_for-in-,0.0297029702970297 -#- -used_for-_used_for-used_for-_used_for-in-,0.1125 -#- -in-_in-in-_in-on-,0.011235955056179775 -#- -in-_on-on-_in-on-,0.015151515151515152 -#- -in-_in-on-_in-on-,0.028169014084507043 -#- -in-_in-used_for-_used_for-on-,0.02666666666666667 -#- -used_for-_used_for-in-_on-in-,0.07246376811594203 -#- -used_for-_used_for-used_for-_used_for-on-,0.025 -#- -in-_on-in-_in-on-,0.04938271604938271 -#- -in-_on-made_of-_made_of-in-,0.02857142857142857 -#- -used_for-_used_for-on-_in-on-,0.04918032786885246 -#- -in-_on-on-_on-in-_in-in-,0.06944444444444445 -#- -in-_on-on-_on-on-_on-in-,0.031746031746031744 -#- -used_for-_used_for-made_of-_made_of-in-,0.0410958904109589 -#- -used_for-_used_for-in-_on-on-,0.013513513513513514 -#- -in-_on-on-_in-on-_on-in-,0.017857142857142856 -#- -used_for-_used_for-made_of-_made_of-on-,0.05194805194805195 -#- -in-_in-in-_in-on-_on-in-,0.04054054054054054 -#- -used_for-_used_for-on-_in-in-_on-in-,0.08108108108108109 -#- -in-_in-in-_on-on-_on-on-,0.1038961038961039 -#- -in-_on-on-_on-in-_on-in-,0.038461538461538464 -#- -in-_in-made_of-_made_of-on-_on-on-,0.0196078431372549 -#- -in-_in-on-_in-on-_on-in-,0.05263157894736842 -#- -used_for-_used_for-in-_in-on-_in-in-,0.04081632653061224 -#- -in-_in-on-_in-on-_in-in-,0.05 -#- -in-_on-in-_in-on-_on-in-,0.02702702702702703 -#- -in-_on-on-_on-used_for-_used_for-in-,0.017241379310344827 -#- -used_for-_used_for-in-_in-in-_on-in-,0.021739130434782608 -#- -in-_on-on-_on-on-_on-on-,0.038461538461538464 -#- -used_for-_used_for-on-_on-in-_in-in-,0.05172413793103448 -#- -used_for-_used_for-in-_in-used_for-_used_for-in-,0.1038961038961039
object:cabinet.n.01,location:water.n.06	-1	-used_for-_used_for-made_of-_made_of-in-,0.02666666666666667 -#- -made_of-_made_of-in-,0.037383177570093455 -#- -made_of-_made_of-made_of-_made_of-in-,0.06382978723404255 -#- -made_of-_made_of-used_for-_used_for-in-,0.020202020202020204 -#- -used_for-_used_for-on-_on-on-_on-in-,0.05405405405405406 -#- -made_of-_made_of-on-_on-in-,0.04 -#- -used_for-_used_for-in-_in-on-_in-in-,0.038461538461538464 -#- -used_for-_used_for-on-_on-in-,0.03260869565217391 -#- -used_for-_used_for-in-_in-in-_on-in-,0.03571428571428571 -#- -made_of-_made_of-on-_in-in-,0.07058823529411765 -#- -used_for-_used_for-on-_in-in-,0.046153846153846156 -#- -used_for-_used_for-in-_in-in-,0.0625 -#- -used_for-_used_for-on-_on-in-_in-in-,0.02564102564102564 -#- -used_for-_used_for-in-_in-used_for-_used_for-in-,0.018518518518518517 -#- -made_of-_made_of-in-_in-in-_on-in-,0.02 -#- -made_of-_made_of-in-_on-in-,0.0379746835443038 -#- -made_of-_made_of-in-_on-on-_on-in-,0.0625 -#- -used_for-_used_for-used_for-_used_for-in-,0.03488372093023256 -#- -used_for-_used_for-in-_on-in-,0.01282051282051282
object:candle.n.01,location:cabinet.n.01	1	-in-_in-in-,0.07079646017699115 -#- -in-_on-in-,0.11428571428571428 -#- -in-_in-on-,0.0673076923076923 -#- -in-_on-on-,0.16981132075471697 -#- -used_for-_used_for-in-,0.42574257425742573 -#- -used_for-_used_for-on-,0.038461538461538464 -#- -in-_in-on-_on-in-,0.0759493670886076 -#- -in-_on-on-_on-in-,0.2222222222222222 -#- -in-_in-in-_on-in-,0.12195121951219512 -#- -in-_on-on-_on-on-,0.031578947368421054 -#- -in-_in-in-_in-in-,0.16 -#- -in-,0.08712121212121213 -#- -in-_in-on-_in-in-,0.1111111111111111 -#- -in-_on-on-_in-in-,0.060240963855421686 -#- -used_for-_used_for-on-_on-in-,0.12857142857142856 -#- -in-_in-on-_on-on-,0.05434782608695652 -#- -in-_on-in-_in-in-,0.11764705882352941 -#- -used_for-_used_for-on-_in-in-,0.171875 -#- -used_for-_used_for-in-_in-in-,0.24358974358974358 -#- -in-_on-in-_on-in-,0.08045977011494253 -#- -in-_in-made_of-_made_of-in-,0.21518987341772153 -#- -in-_in-used_for-_used_for-in-,0.06930693069306931 -#- -in-_in-in-_on-on-,0.17045454545454544 -#- -in-_in-made_of-_made_of-on-,0.09230769230769231 -#- -used_for-_used_for-used_for-_used_for-in-,0.375 -#- -in-_in-in-_in-on-,0.033707865168539325 -#- -in-_on-on-_in-on-,0.10606060606060606 -#- -in-_in-on-_in-on-,0.04225352112676056 -#- -used_for-_used_for-in-_in-on-,0.11392405063291139 -#- -in-_in-used_for-_used_for-on-,0.08 -#- -used_for-_used_for-on-_on-on-,0.140625 -#- -used_for-_used_for-in-_on-in-,0.21739130434782608 -#- -used_for-_used_for-used_for-_used_for-on-,0.05 -#- -in-_on-made_of-_made_of-on-,0.06818181818181818 -#- -in-_on-in-_in-on-,0.024691358024691357 -#- -in-_on-used_for-_used_for-in-,0.21176470588235294 -#- -in-_on-made_of-_made_of-in-,0.17142857142857143 -#- -used_for-_used_for-on-_in-on-,0.08196721311475409 -#- -in-_in-on-_on-on-_on-on-,0.058823529411764705 -#- -in-_on-used_for-_used_for-on-,0.17721518987341772 -#- -in-_on-on-_on-in-_in-in-,0.16666666666666666 -#- -in-_on-in-_on-on-,0.11688311688311688 -#- -in-_on-on-_on-on-_on-in-,0.07936507936507936 -#- -used_for-_used_for-made_of-_made_of-in-,0.2054794520547945 -#- -used_for-_used_for-in-_on-on-,0.22972972972972974 -#- -in-_on-on-_in-on-_on-in-,0.10714285714285714 -#- -used_for-_used_for-made_of-_made_of-on-,0.15584415584415584 -#- -in-_in-in-_in-on-_on-in-,0.06756756756756757 -#- -used_for-_used_for-on-_in-in-_on-in-,0.1891891891891892 -#- -used_for-_used_for-on-_on-on-_on-in-,0.17857142857142858 -#- -in-_in-in-_on-on-_on-on-,0.1038961038961039 -#- -in-_on-on-_on-in-_on-in-,0.19230769230769232 -#- -in-_in-made_of-_made_of-on-_on-on-,0.0784313725490196 -#- -in-_in-on-_in-on-_on-in-,0.10526315789473684 -#- -used_for-_used_for-in-_in-on-_in-in-,0.12244897959183673 -#- -in-_in-on-_in-on-_in-in-,0.05 -#- -in-_on-in-_in-on-_on-in-,0.14864864864864866 -#- -in-_on-on-_on-used_for-_used_for-in-,0.13793103448275862 -#- -used_for-_used_for-in-_in-in-_on-in-,0.08695652173913043 -#- -in-_on-on-_on-on-_on-on-,0.02564102564102564 -#- -in-_on-on-_in-in-_on-on-,0.0196078431372549 -#- -in-_in-used_for-_used_for-on-_in-in-,0.0975609756097561 -#- -in-_in-in-_on-on-_in-in-,0.06451612903225806 -#- -used_for-_used_for-on-_on-in-_in-in-,0.1206896551724138 -#- -used_for-_used_for-in-_in-used_for-_used_for-in-,0.19480519480519481
object:sink.n.01,location:sink.n.01	-1	-in-_in-in-,0.07633587786259542 -#- -in-_on-in-,0.0625 -#- -in-_in-on-,0.04032258064516129 -#- -made_of-_made_of-in-,0.16666666666666666 -#- -in-_on-on-,0.10852713178294573 -#- -used_for-_used_for-in-,0.3161764705882353 -#- -used_for-_used_for-on-,0.16546762589928057 -#- -made_of-_made_of-on-,0.12307692307692308 -#- -in-_in-on-_on-in-,0.07 -#- -on-_on-in-,0.07086614173228346 -#- -in-_on-on-_on-in-,0.11224489795918367 -#- -on-_in-in-,0.056962025316455694 -#- -on-_on-on-,0.030120481927710843 -#- -on-_in-on-,0.05161290322580645 -#- -in-_in-in-_on-in-,0.16666666666666666 -#- -in-_on-on-_on-on-,0.08421052631578947 -#- -in-_in-in-_in-in-,0.08411214953271028 -#- -made_of-_made_of-on-_on-in-,0.08536585365853659 -#- -in-_in-on-_in-in-,0.08860759493670886 -#- -in-_on-on-_in-in-,0.060240963855421686 -#- -made_of-_made_of-in-_in-in-,0.11827956989247312 -#- -used_for-_used_for-on-_on-in-,0.08433734939759036 -#- -in-_in-on-_on-on-,0.06 -#- -made_of-_made_of-on-_in-in-,0.0989010989010989 -#- -in-_on-in-_in-in-,0.08333333333333333 -#- -used_for-_used_for-on-_in-in-,0.1891891891891892 -#- -used_for-_used_for-in-_in-in-,0.16129032258064516 -#- -in-_on-in-_on-in-,0.10526315789473684 -#- -in-_in-made_of-_made_of-in-,0.07368421052631578 -#- -in-_in-used_for-_used_for-in-,0.1782178217821782 -#- -made_of-_made_of-in-_on-in-,0.08888888888888889 -#- -in-_in-in-_on-on-,0.08411214953271028 -#- -in-_in-made_of-_made_of-on-,0.05555555555555555 -#- -used_for-_used_for-used_for-_used_for-in-,0.20224719101123595 -#- -made_of-_made_of-on-_on-on-,0.031914893617021274 -#- -in-_in-in-_in-on-,0.05982905982905983 -#- -in-_on-on-_in-on-,0.08536585365853659 -#- -in-_in-on-_in-on-,0.031914893617021274 -#- -on-_on-on-_on-in-,0.11764705882352941 -#- -used_for-_used_for-in-_in-on-,0.09782608695652174 -#- -on-_on-on-_in-in-,0.14925373134328357 -#- -made_of-_made_of-in-_on-on-,0.09523809523809523 -#- -in-_in-used_for-_used_for-on-,0.16981132075471697 -#- -used_for-_used_for-on-_on-on-,0.08888888888888889 -#- -made_of-_made_of-made_of-_made_of-on-,0.09375 -#- -used_for-_used_for-in-_on-in-,0.09523809523809523 -#- -used_for-_used_for-used_for-_used_for-on-,0.23404255319148937 -#- -in-_on-made_of-_made_of-on-,0.08602150537634409 -#- -made_of-_made_of-in-_in-on-,0.07368421052631578 -#- -made_of-_made_of-on-_in-on-,0.04938271604938271 -#- -in-_on-in-_in-on-,0.04854368932038835 -#- -in-_on-used_for-_used_for-in-,0.17582417582417584 -#- -in-_on-made_of-_made_of-in-,0.17391304347826086 -#- -on-_on-in-_in-in-,0.02702702702702703 -#- -on-_on-in-_on-in-,0.13559322033898305 -#- -used_for-_used_for-on-_in-on-,0.06666666666666667 -#- -on-_in-in-_in-in-,0.0945945945945946 -#- -in-_in-on-_on-on-_on-on-,0.03488372093023256 -#- -in-_on-used_for-_used_for-on-,0.08 -#- -in-_on-on-_on-in-_in-in-,0.10752688172043011 -#- -made_of-_made_of-used_for-_used_for-on-,0.056179775280898875 -#- -on-_on-used_for-_used_for-in-,0.04477611940298507 -#- -in-_on-in-_on-on-,0.03409090909090909 -#- -in-_on-on-_on-on-_on-in-,0.12359550561797752 -#- -used_for-_used_for-made_of-_made_of-in-,0.1590909090909091 -#- -on-_on-made_of-_made_of-on-,0.03125 -#- -made_of-_made_of-made_of-_made_of-in-,0.09090909090909091 -#- -used_for-_used_for-in-_on-on-,0.058823529411764705 -#- -in-_on-on-_in-on-_on-in-,0.07936507936507936 -#- -on-_in-in-_on-in-,0.13432835820895522 -#- -used_for-_used_for-on-_on-on-_on-on-,0.05128205128205128 -#- -used_for-_used_for-made_of-_made_of-on-,0.09411764705882353 -#- -made_of-_made_of-used_for-_used_for-in-,0.20652173913043478 -#- -in-_in-in-_in-on-_on-in-,0.0641025641025641 -#- -used_for-_used_for-on-_in-in-_on-in-,0.03333333333333333 -#- -used_for-_used_for-on-_on-on-_on-in-,0.06976744186046512 -#- -in-_in-in-_on-on-_on-on-,0.03896103896103896 -#- -on-_on-on-_on-on-,0.039473684210526314 -#- -in-_on-on-_on-in-_on-in-,0.07575757575757576 -#- -in-_in-made_of-_made_of-on-_on-on-,0.03488372093023256 -#- -in-_in-on-_in-on-_on-in-,0.1780821917808219 -#- -made_of-_made_of-on-_on-on-_on-on-,0.03488372093023256 -#- -used_for-_used_for-in-_in-on-_in-in-,0.125 -#- -in-_in-on-_in-on-_in-in-,0.16279069767441862 -#- -in-_on-in-_in-on-_on-in-,0.2716049382716049 -#- -in-_on-on-_on-used_for-_used_for-in-,0.25 -#- -used_for-_used_for-in-_in-in-_on-in-,0.1527777777777778 -#- -in-_on-on-_on-on-_on-on-,0.01098901098901099 -#- -in-_on-on-_in-in-_on-on-,0.05084745762711865 -#- -in-_in-used_for-_used_for-on-_in-in-,0.21052631578947367 -#- -in-_in-in-_on-on-_in-in-,0.16 -#- -used_for-_used_for-on-_on-in-_in-in-,0.12941176470588237 -#- -used_for-_used_for-in-_in-used_for-_used_for-in-,0.2077922077922078 -#- -made_of-_made_of-in-_in-in-_on-in-,0.16 -#- -on-_on-on-_on-in-_in-in-,0.0989010989010989 -#- -made_of-_made_of-in-_on-on-_on-in-,0.045454545454545456 -#- -on-_on-in-_on-on-,0.1044776119402985 -#- -on-_in-on-_in-in-,0.11666666666666667
object:teapot.n.01,location:plate.n.04	1	-in-_in-on-,0.07746478873239436 -#- -in-_on-on-,0.03731343283582089 -#- -used_for-_used_for-on-,0.043859649122807015 -#- -made_of-_made_of-on-,0.04132231404958678 -#- -in-_on-on-_on-on-,0.07142857142857142 -#- -in-_in-in-_on-on-,0.028169014084507043 -#- -made_of-_made_of-on-_on-on-,0.04878048780487805 -#- -in-_in-in-_in-on-,0.07792207792207792 -#- -in-_on-on-_in-on-,0.02631578947368421 -#- -in-_in-on-_in-on-,0.013333333333333334 -#- -used_for-_used_for-in-_in-on-,0.04819277108433735 -#- -made_of-_made_of-in-_on-on-,0.02702702702702703 -#- -in-_in-used_for-_used_for-on-,0.013333333333333334 -#- -used_for-_used_for-on-_on-on-,0.036585365853658534 -#- -made_of-_made_of-made_of-_made_of-on-,0.027777777777777776 -#- -used_for-_used_for-used_for-_used_for-on-,0.011627906976744186 -#- -made_of-_made_of-in-_in-on-,0.02247191011235955 -#- -made_of-_made_of-on-_in-on-,0.04 -#- -in-_on-in-_in-on-,0.07407407407407407 -#- -used_for-_used_for-on-_in-on-,0.06451612903225806 -#- -in-_in-on-_on-on-_on-on-,0.023529411764705882 -#- -in-_on-used_for-_used_for-on-,0.046875 -#- -made_of-_made_of-used_for-_used_for-on-,0.030303030303030304 -#- -in-_on-in-_on-on-,0.0410958904109589 -#- -used_for-_used_for-in-_on-on-,0.06557377049180328 -#- -used_for-_used_for-on-_on-on-_on-on-,0.02702702702702703 -#- -used_for-_used_for-made_of-_made_of-on-,0.013157894736842105 -#- -in-_in-made_of-_made_of-on-_on-on-,0.028985507246376812 -#- -made_of-_made_of-on-_on-on-_on-on-,0.022727272727272728 -#- -in-_on-on-_on-on-_on-on-,0.11494252873563218 -#- -in-_on-on-_in-in-_on-on-,0.05084745762711865
object:teapot.n.01,location:dish.n.01	1	-in-_in-on-,0.014084507042253521 -#- -in-_on-on-,0.014925373134328358 -#- -used_for-_used_for-on-,0.02631578947368421 -#- -made_of-_made_of-on-,0.03305785123966942 -#- -in-_on-on-_on-on-,0.047619047619047616 -#- -in-_in-on-_on-on-,0.05128205128205128 -#- -in-_in-made_of-_made_of-on-,0.012987012987012988 -#- -in-_in-in-_in-on-,0.012987012987012988 -#- -in-_on-on-_in-on-,0.05263157894736842 -#- -in-_in-used_for-_used_for-on-,0.02666666666666667 -#- -used_for-_used_for-on-_on-on-,0.036585365853658534 -#- -used_for-_used_for-used_for-_used_for-on-,0.03488372093023256 -#- -in-_on-made_of-_made_of-on-,0.041666666666666664 -#- -made_of-_made_of-in-_in-on-,0.02247191011235955 -#- -made_of-_made_of-on-_in-on-,0.05333333333333334 -#- -in-_on-in-_in-on-,0.04938271604938271 -#- -used_for-_used_for-on-_in-on-,0.04838709677419355 -#- -in-_in-on-_on-on-_on-on-,0.03529411764705882 -#- -in-_on-used_for-_used_for-on-,0.046875 -#- -in-_on-in-_on-on-,0.0410958904109589 -#- -used_for-_used_for-in-_on-on-,0.01639344262295082 -#- -used_for-_used_for-on-_on-on-_on-on-,0.06756756756756757 -#- -in-_in-in-_on-on-_on-on-,0.013157894736842105 -#- -made_of-_made_of-on-_on-on-_on-on-,0.022727272727272728 -#- -in-_on-on-_on-on-_on-on-,0.034482758620689655
object:sink.n.01,location:chair.n.01	-1	-in-_in-on-,0.04032258064516129 -#- -in-_on-on-,0.03875968992248062 -#- -used_for-_used_for-on-,0.014388489208633094 -#- -made_of-_made_of-on-,0.023076923076923078 -#- -on-_on-on-,0.018072289156626505 -#- -on-_in-on-,0.0064516129032258064 -#- -in-_on-on-_on-on-,0.010526315789473684 -#- -in-_in-on-_on-on-,0.03 -#- -in-_in-in-_on-on-,0.009345794392523364 -#- -in-_in-made_of-_made_of-on-,0.08333333333333333 -#- -made_of-_made_of-on-_on-on-,0.010638297872340425 -#- -in-_in-in-_in-on-,0.02564102564102564 -#- -in-_in-on-_in-on-,0.010638297872340425 -#- -used_for-_used_for-in-_in-on-,0.010869565217391304 -#- -made_of-_made_of-in-_on-on-,0.011904761904761904 -#- -in-_in-used_for-_used_for-on-,0.018867924528301886 -#- -used_for-_used_for-on-_on-on-,0.022222222222222223 -#- -made_of-_made_of-made_of-_made_of-on-,0.010416666666666666 -#- -in-_on-made_of-_made_of-on-,0.043010752688172046 -#- -made_of-_made_of-in-_in-on-,0.021052631578947368 -#- -made_of-_made_of-on-_in-on-,0.037037037037037035 -#- -in-_on-in-_in-on-,0.009708737864077669 -#- -used_for-_used_for-on-_in-on-,0.05333333333333334 -#- -in-_in-on-_on-on-_on-on-,0.03488372093023256 -#- -in-_on-used_for-_used_for-on-,0.01 -#- -made_of-_made_of-used_for-_used_for-on-,0.033707865168539325 -#- -in-_on-in-_on-on-,0.03409090909090909 -#- -on-_on-made_of-_made_of-on-,0.078125 -#- -used_for-_used_for-made_of-_made_of-on-,0.023529411764705882 -#- -on-_on-on-_on-on-_on-on-,0.021505376344086023 -#- -in-_in-in-_on-on-_on-on-,0.03896103896103896 -#- -on-_on-on-_on-on-,0.02631578947368421 -#- -in-_in-made_of-_made_of-on-_on-on-,0.011627906976744186 -#- -in-_on-on-_on-on-_on-on-,0.02197802197802198 -#- -in-_on-on-_in-in-_on-on-,0.05084745762711865 -#- -on-_on-in-_on-on-,0.04477611940298507
