|film|film|costume_design_by	|film|film
|music|performance_role|regular_performances.|music|group_membership|group	|music|performance_role
|location|country|second_level_divisions	|location|country
|film|director|film	|film|director
|people|marriage_union_type|unions_of_this_type.|people|marriage|location_of_ceremony	|people|marriage_union_type
|base|saturdaynightlive|snl_cast_member|seasons.|base|saturdaynightlive|snl_season_tenure|cast_members	|base|saturdaynightlive|snl_cast_member
|location|statistical_region|religions.|location|religion_percentage|religion	|location|statistical_region
|celebrities|celebrity|celebrity_friends.|celebrities|friendship|friend	|celebrities|celebrity
|base|popstra|celebrity|friendship.|base|popstra|friendship|participant	|base|popstra|celebrity
|base|schemastaging|organization_extra|phone_number.|base|schemastaging|phone_sandbox|service_language	|base|schemastaging|organization_extra
|music|performance_role|track_performances.|music|track_contribution|role	|music|performance_role
|olympics|olympic_sport|athletes.|olympics|olympic_athlete_affiliation|olympics	|olympics|olympic_sport
|film|film|cinematography	|film|film
|travel|travel_destination|climate.|travel|travel_destination_monthly_climate|month	|travel|travel_destination
|olympics|olympic_participating_country|medals_won.|olympics|olympic_medal_honor|medal	|olympics|olympic_participating_country
|broadcast|content|artist	|broadcast|content
|base|schemastaging|organization_extra|phone_number.|base|schemastaging|phone_sandbox|contact_category	|base|schemastaging|organization_extra
|film|film|film_festivals	|film|film
|award|award_nominee|award_nominations.|award|award_nomination|award_nominee	|award|award_nominee
|sports|sport|pro_athletes.|sports|pro_sports_played|athlete	|sports|sport
|tv|tv_program|regular_cast.|tv|regular_tv_appearance|actor	|tv|tv_program
|music|genre|artists	|music|genre
|music|performance_role|guest_performances.|music|recording_contribution|performance_role	|music|performance_role
|sports|sports_league|teams.|sports|sports_league_participation|team	|sports|sports_league
|government|politician|government_positions_held.|government|government_position_held|jurisdiction_of_office	|government|politician
|sports|sports_team|colors	|sports|sports_team
|business|business_operation|operating_income.|measurement_unit|dated_money_value|currency	|business|business_operation
|people|person|spouse_s.|people|marriage|location_of_ceremony	|people|person
|common|topic|webpage.|common|webpage|category	|common|topic
|business|business_operation|industry	|business|business_operation
|film|film|executive_produced_by	|film|film
|award|award_winner|awards_won.|award|award_honor|award_winner	|award|award_winner
|influence|influence_node|influenced_by	|influence|influence_node
|user|jg|default_domain|olympic_games|sports	|user|jg|default_domain|olympic_games
|sports|sports_league_draft|picks.|sports|sports_league_draft_pick|school	|sports|sports_league_draft
|people|deceased_person|place_of_death	|people|deceased_person
|people|cause_of_death|people	|people|cause_of_death
|influence|influence_node|peers.|influence|peer_relationship|peers	|influence|influence_node
|education|educational_degree|people_with_this_degree.|education|education|major_field_of_study	|education|educational_degree
|sports|sports_team|roster.|american_football|football_historical_roster_position|position_s	|sports|sports_team
|tv|tv_producer|programs_produced.|tv|tv_producer_term|producer_type	|tv|tv_producer
|education|university|fraternities_and_sororities	|education|university
|film|film|release_date_s.|film|film_regional_release_date|film_regional_debut_venue	|film|film
|sports|professional_sports_team|draft_picks.|sports|sports_league_draft_pick|school	|sports|professional_sports_team
|sports|sports_position|players.|sports|sports_team_roster|position	|sports|sports_position
|education|educational_degree|people_with_this_degree.|education|education|institution	|education|educational_degree
|business|business_operation|revenue.|measurement_unit|dated_money_value|currency	|business|business_operation
|government|legislative_session|members.|government|government_position_held|legislative_sessions	|government|legislative_session
|organization|organization_founder|organizations_founded	|organization|organization_founder
|film|actor|dubbing_performances.|film|dubbing_performance|language	|film|actor
|organization|organization|headquarters.|location|mailing_address|citytown	|organization|organization
|award|award_nominated_work|award_nominations.|award|award_nomination|nominated_for	|award|award_nominated_work
|olympics|olympic_participating_country|athletes.|olympics|olympic_athlete_affiliation|olympics	|olympics|olympic_participating_country
|location|statistical_region|places_exported_to.|location|imports_and_exports|exported_to	|location|statistical_region
|film|actor|film.|film|performance|special_performance_type	|film|actor
|ice_hockey|hockey_team|current_roster.|sports|sports_team_roster|position	|ice_hockey|hockey_team
|people|deceased_person|place_of_burial	|people|deceased_person
|people|person|sibling_s.|people|sibling_relationship|sibling	|people|person
|people|person|religion	|people|person
|tv|tv_producer|programs_produced.|tv|tv_producer_term|program	|tv|tv_producer
|education|educational_institution|students_graduates.|education|education|major_field_of_study	|education|educational_institution
|base|biblioness|bibs_location|state	|base|biblioness|bibs_location
|base|popstra|celebrity|breakup.|base|popstra|breakup|participant	|base|popstra|celebrity
|organization|organization_member|member_of.|organization|organization_membership|organization	|organization|organization_member
|film|special_film_performance_type|film_performance_type.|film|performance|film	|film|special_film_performance_type
|travel|travel_destination|how_to_get_here.|travel|transportation|mode_of_transportation	|travel|travel_destination
|location|administrative_division|first_level_division_of	|location|administrative_division
|organization|organization|headquarters.|location|mailing_address|country	|organization|organization
|organization|endowed_organization|endowment.|measurement_unit|dated_money_value|currency	|organization|endowed_organization
|location|country|form_of_government	|location|country
|film|film|language	|film|film
|olympics|olympic_games|sports	|olympics|olympic_games
|location|statistical_region|rent50_2.|measurement_unit|dated_money_value|currency	|location|statistical_region
|location|location|adjoin_s.|location|adjoining_relationship|adjoins	|location|location
|business|business_operation|assets.|measurement_unit|dated_money_value|currency	|business|business_operation
|people|ethnicity|geographic_distribution	|people|ethnicity
|film|film|featured_film_locations	|film|film
|sports|sports_position|players.|american_football|football_historical_roster_position|position_s	|sports|sports_position
|location|hud_foreclosure_area|estimated_number_of_mortgages.|measurement_unit|dated_integer|source	|location|hud_foreclosure_area
|award|award_winning_work|awards_won.|award|award_honor|award	|award|award_winning_work
|government|politician|government_positions_held.|government|government_position_held|legislative_sessions	|government|politician
|olympics|olympic_sport|athletes.|olympics|olympic_athlete_affiliation|country	|olympics|olympic_sport
|music|performance_role|regular_performances.|music|group_membership|role	|music|performance_role
|medicine|disease|notable_people_with_this_condition	|medicine|disease
