|film|film|costume_design_by	|film|film_costumer_designer
|music|performance_role|regular_performances.|music|group_membership|group	|music|musical_group
|location|country|second_level_divisions	|location|administrative_division
|film|director|film	|film|film
|people|marriage_union_type|unions_of_this_type.|people|marriage|location_of_ceremony	|location|location
|base|saturdaynightlive|snl_cast_member|seasons.|base|saturdaynightlive|snl_season_tenure|cast_members	|base|saturdaynightlive|snl_cast_member
|location|statistical_region|religions.|location|religion_percentage|religion	|religion|religion
|celebrities|celebrity|celebrity_friends.|celebrities|friendship|friend	|celebrities|celebrity
|base|popstra|celebrity|friendship.|base|popstra|friendship|participant	|base|popstra|celebrity
|base|schemastaging|organization_extra|phone_number.|base|schemastaging|phone_sandbox|service_language	|language|human_language
|music|performance_role|track_performances.|music|track_contribution|role	|music|performance_role
|olympics|olympic_sport|athletes.|olympics|olympic_athlete_affiliation|olympics	|olympics|olympic_games
|film|film|cinematography	|film|cinematographer
|travel|travel_destination|climate.|travel|travel_destination_monthly_climate|month	|time|month
|olympics|olympic_participating_country|medals_won.|olympics|olympic_medal_honor|medal	|olympics|olympic_medal
|broadcast|content|artist	|broadcast|artist
|base|schemastaging|organization_extra|phone_number.|base|schemastaging|phone_sandbox|contact_category	|organization|contact_category
|film|film|film_festivals	|film|film_festival_event
|award|award_nominee|award_nominations.|award|award_nomination|award_nominee	|award|award_nominee
|sports|sport|pro_athletes.|sports|pro_sports_played|athlete	|sports|pro_athlete
|tv|tv_program|regular_cast.|tv|regular_tv_appearance|actor	|tv|tv_actor
|music|genre|artists	|music|artist
|music|performance_role|guest_performances.|music|recording_contribution|performance_role	|music|performance_role
|sports|sports_league|teams.|sports|sports_league_participation|team	|sports|sports_team
|government|politician|government_positions_held.|government|government_position_held|jurisdiction_of_office	|government|governmental_jurisdiction
|sports|sports_team|colors	|visual_art|color
|business|business_operation|operating_income.|measurement_unit|dated_money_value|currency	|finance|currency
|people|person|spouse_s.|people|marriage|location_of_ceremony	|location|location
|common|topic|webpage.|common|webpage|category	|common|annotation_category
|business|business_operation|industry	|business|industry
|film|film|executive_produced_by	|film|producer
|award|award_winner|awards_won.|award|award_honor|award_winner	|award|award_winner
|influence|influence_node|influenced_by	|influence|influence_node
|user|jg|default_domain|olympic_games|sports	|user|jg|default_domain|olympic_sport
|sports|sports_league_draft|picks.|sports|sports_league_draft_pick|school	|education|educational_institution
|people|deceased_person|place_of_death	|location|location
|people|cause_of_death|people	|people|deceased_person
|influence|influence_node|peers.|influence|peer_relationship|peers	|influence|influence_node
|education|educational_degree|people_with_this_degree.|education|education|major_field_of_study	|education|field_of_study
|sports|sports_team|roster.|american_football|football_historical_roster_position|position_s	|american_football|position
|tv|tv_producer|programs_produced.|tv|tv_producer_term|producer_type	|tv|tv_producer_type
|education|university|fraternities_and_sororities	|education|fraternity_sorority
|film|film|release_date_s.|film|film_regional_release_date|film_regional_debut_venue	|film|film_screening_venue
|sports|professional_sports_team|draft_picks.|sports|sports_league_draft_pick|school	|education|educational_institution
|sports|sports_position|players.|sports|sports_team_roster|position	|sports|sports_position
|education|educational_degree|people_with_this_degree.|education|education|institution	|education|educational_institution
|business|business_operation|revenue.|measurement_unit|dated_money_value|currency	|finance|currency
|government|legislative_session|members.|government|government_position_held|legislative_sessions	|government|legislative_session
|organization|organization_founder|organizations_founded	|organization|organization
|film|actor|dubbing_performances.|film|dubbing_performance|language	|language|human_language
|organization|organization|headquarters.|location|mailing_address|citytown	|location|location
|award|award_nominated_work|award_nominations.|award|award_nomination|nominated_for	|award|award_nominated_work
|olympics|olympic_participating_country|athletes.|olympics|olympic_athlete_affiliation|olympics	|olympics|olympic_games
|location|statistical_region|places_exported_to.|location|imports_and_exports|exported_to	|location|statistical_region
|film|actor|film.|film|performance|special_performance_type	|film|special_film_performance_type
|ice_hockey|hockey_team|current_roster.|sports|sports_team_roster|position	|sports|sports_position
|people|deceased_person|place_of_burial	|people|place_of_interment
|people|person|sibling_s.|people|sibling_relationship|sibling	|people|person
|people|person|religion	|religion|religion
|tv|tv_producer|programs_produced.|tv|tv_producer_term|program	|tv|tv_program
|education|educational_institution|students_graduates.|education|education|major_field_of_study	|education|field_of_study
|base|biblioness|bibs_location|state	|location|location
|base|popstra|celebrity|breakup.|base|popstra|breakup|participant	|base|popstra|celebrity
|organization|organization_member|member_of.|organization|organization_membership|organization	|organization|membership_organization
|film|special_film_performance_type|film_performance_type.|film|performance|film	|film|film
|travel|travel_destination|how_to_get_here.|travel|transportation|mode_of_transportation	|travel|transportation_mode
|location|administrative_division|first_level_division_of	|location|country
|organization|organization|headquarters.|location|mailing_address|country	|location|country
|organization|endowed_organization|endowment.|measurement_unit|dated_money_value|currency	|finance|currency
|location|country|form_of_government	|government|form_of_government
|film|film|language	|language|human_language
|olympics|olympic_games|sports	|olympics|olympic_sport
|location|statistical_region|rent50_2.|measurement_unit|dated_money_value|currency	|finance|currency
|location|location|adjoin_s.|location|adjoining_relationship|adjoins	|location|location
|business|business_operation|assets.|measurement_unit|dated_money_value|currency	|finance|currency
|people|ethnicity|geographic_distribution	|location|location
|film|film|featured_film_locations	|film|film_location
|sports|sports_position|players.|american_football|football_historical_roster_position|position_s	|american_football|position
|location|hud_foreclosure_area|estimated_number_of_mortgages.|measurement_unit|dated_integer|source	|dataworld|information_source
|award|award_winning_work|awards_won.|award|award_honor|award	|award|award_category
|government|politician|government_positions_held.|government|government_position_held|legislative_sessions	|government|legislative_session
|olympics|olympic_sport|athletes.|olympics|olympic_athlete_affiliation|country	|olympics|olympic_participating_country
|music|performance_role|regular_performances.|music|group_membership|role	|music|performance_role
|medicine|disease|notable_people_with_this_condition	|medicine|notable_person_with_medical_condition
|tv|non_character_role|tv_regular_personal_appearances.|tv|tv_regular_personal_appearance|person	|tv|tv_personality
|tv|tv_writer|tv_programs.|tv|tv_program_writer_relationship|tv_program	|tv|tv_program
|location|statistical_region|gdp_nominal_per_capita.|measurement_unit|dated_money_value|currency	|finance|currency
|soccer|football_team|current_roster.|soccer|football_roster_position|position	|soccer|football_position
|user|alexander|philosophy|philosopher|interests	|user|alexander|philosophy|subject
|people|profession|specialization_of	|people|profession
|award|award_category|disciplines_or_subjects	|award|award_discipline
