synset:terbinafine.n.01,synset:stimulant_drug.n.01	-1	-hypernym-hypernym-_hypernym-hypernym-_hypernym-_hypernym-,0.047619047619047616
synset:trade_name.n.01,synset:haloperidol.n.01	1	-member_of_domain_usage-hypernym-hypernym-_hypernym-_hypernym-,0.0625
synset:plastic_film.n.01,synset:trade_name.n.01	-1	-hypernym-_hypernym-hypernym-_hypernym-_hypernym-_member_of_domain_usage-,1.0
synset:formulation.n.03,synset:colloquialism.n.01	-1	-_hypernym-hypernym-hypernym-_hypernym-_hypernym-,0.057692307692307696 -#- -_hypernym-,0.277992277992278 -#- -hypernym-_hypernym-_hypernym-,0.04819277108433735 -#- -_hypernym-member_of_domain_usage-_member_of_domain_usage-,0.525
synset:nystatin.n.01,synset:ciprofloxacin.n.01	-1	-hypernym-_hypernym-,0.04195804195804196 -#- -hypernym-hypernym-_hypernym-hypernym-_hypernym-_hypernym-,0.03333333333333333 -#- -hypernym-hypernym-_hypernym-_hypernym-,0.019230769230769232
synset:trade_name.n.01,synset:osmitrol.n.01	1	-member_of_domain_usage-hypernym-hypernym-_hypernym-,0.02702702702702703
synset:colloquialism.n.01,synset:colloquialism.n.01	-1	-hypernym-_hypernym-,0.21476510067114093 -#- -hypernym-_derivationally_related_form-derivationally_related_form-hypernym-_hypernym-,0.02127659574468085 -#- -hypernym-derivationally_related_form-_derivationally_related_form-_hypernym-,0.034482758620689655 -#- -member_of_domain_usage-_member_of_domain_usage-,1.0 -#- -member_of_domain_usage-hypernym-_hypernym-_member_of_domain_usage-,1.0 -#- -member_of_domain_usage-_derivationally_related_form-derivationally_related_form-_member_of_domain_usage-,1.0 -#- -hypernym-hypernym-_hypernym-hypernym-_hypernym-_hypernym-,0.06060606060606061 -#- -hypernym-_hypernym-hypernym-_hypernym-,0.16049382716049382 -#- -hypernym-_derivationally_related_form-derivationally_related_form-_hypernym-,0.01694915254237288 -#- -hypernym-hypernym-_hypernym-_hypernym-,0.07936507936507936 -#- -hypernym-_derivationally_related_form-_derivationally_related_form-_hypernym-,0.04 -#- -hypernym-derivationally_related_form-derivationally_related_form-_hypernym-,0.0847457627118644
synset:intensive.n.01,synset:intensive.n.01	-1	-hypernym-_hypernym-,0.3111111111111111 -#- -hypernym-derivationally_related_form-_derivationally_related_form-_hypernym-,0.3157894736842105 -#- -_derivationally_related_form-derivationally_related_form-,0.36 -#- -hypernym-_has_part-has_part-_hypernym-,0.34 -#- -member_of_domain_usage-_member_of_domain_usage-,1.0 -#- -_derivationally_related_form-_derivationally_related_form-,0.325 -#- -derivationally_related_form-derivationally_related_form-,0.32 -#- -derivationally_related_form-_derivationally_related_form-,0.3 -#- -_derivationally_related_form-_derivationally_related_form-derivationally_related_form-derivationally_related_form-,0.14 -#- -hypernym-_hypernym-hypernym-_hypernym-,0.32857142857142857 -#- -_derivationally_related_form-_derivationally_related_form-_derivationally_related_form-derivationally_related_form-,0.16 -#- -hypernym-_derivationally_related_form-derivationally_related_form-_hypernym-,0.38636363636363635 -#- -hypernym-_derivationally_related_form-_derivationally_related_form-_hypernym-,0.45098039215686275 -#- -hypernym-derivationally_related_form-derivationally_related_form-_hypernym-,0.24489795918367346
synset:sleep_with.v.01,synset:sleep_with.v.01	-1	-hypernym-_hypernym-,0.155 -#- -hypernym-derivationally_related_form-_derivationally_related_form-_hypernym-,0.12658227848101267 -#- -_derivationally_related_form-derivationally_related_form-,0.8714285714285714 -#- -_derivationally_related_form-_derivationally_related_form-,0.8413793103448276 -#- -derivationally_related_form-derivationally_related_form-,0.8848920863309353 -#- -_verb_group-_verb_group-,1.0 -#- -verb_group-verb_group-,1.0 -#- -derivationally_related_form-_derivationally_related_form-,0.8676470588235294 -#- -hypernym-hypernym-_hypernym-hypernym-_hypernym-_hypernym-,0.10526315789473684 -#- -_hypernym-hypernym-,1.0 -#- -_hypernym-hypernym-_hypernym-hypernym-_hypernym-hypernym-,1.0 -#- -_derivationally_related_form-_derivationally_related_form-derivationally_related_form-derivationally_related_form-,0.7560975609756098 -#- -hypernym-_hypernym-hypernym-_hypernym-,0.18 -#- -hypernym-_derivationally_related_form-derivationally_related_form-_hypernym-,0.09859154929577464 -#- -_derivationally_related_form-_derivationally_related_form-_derivationally_related_form-derivationally_related_form-,0.7088607594936709 -#- -hypernym-hypernym-_hypernym-_hypernym-,0.07692307692307693 -#- -_verb_group-verb_group-,1.0 -#- -hypernym-_hypernym-_hypernym-hypernym-,1.0 -#- -_hypernym-hypernym-_hypernym-hypernym-,1.0 -#- -hypernym-_derivationally_related_form-_derivationally_related_form-_hypernym-,0.11688311688311688 -#- -hypernym-derivationally_related_form-derivationally_related_form-_hypernym-,0.1388888888888889
synset:trade_name.n.01,synset:chlortetracycline.n.01	1	-member_of_domain_usage-hypernym-hypernym-_hypernym-_hypernym-,0.0625
